Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
SSA,F8,3.94,0.0,-2932.27,-2932.27,-2932.27,-3069.55,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3320.6,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3434.96,-3439.56,-3439.56,-3439.56,-3439.56,-3439.56,-3625.31,-3625.31,-3625.31,-3638.58,-3640.69,-3683.85,-3784.54,-3866.95,-4306.96,-4318.52,-4328.86,-4338.15,-4346.53,-4354.42,-4401.66,-4483.28,-4483.28,-4483.28,-4483.28,-4504.41,-4542.44,-4542.44,-4878.31,-5136.73,-5136.73,-5295.95,-5422.05,-5443.82,-5539.85,-5727.95,-5758.85,-5924.08,-6275.57,-6277.69,-6403.08,-6403.08,-6529.74,-6608.71,-6713.12,-6925.47,-6956.35,-7085.2,-7130.99,-7268.88,-7361.21,-7439.13,-7492.65,-7552.78,-7579.67,-7662.89,-7714.28,-7773.08,-7811.17,-7842.48,-7913.25,-7954.95,-8032.48,-8088.72,-8131.14,-8170.82,-8208.84,-8249.14,-8281.65,-8298.07,-8313.12,-8341.73,-8370.44,-8395.59,-8414.64,-8429.73,-8446.57,-8464.05,-8480.53,-8491.86,-8503.64,-8512.31,-8517.12,-8519.76,-8524.92,-8532.32,-8536.5,-8538.65,-8542.41,-8546.43,-8550.72,-8551.95,-8554.01,-8555.12,-8556.9,-8558.92,-8560.25,-8561.84,-8563.17,-8563.96,-8564.38,-8565.04,-8566.03,-8566.94,-8567.41,-8568.44,-8568.79,-8569.18,-8569.49,-8569.76,-8570.15,-8570.36,-8570.54,-8570.67,-8570.81,-8570.86,-8570.98,-8571.09,-8571.22,-8571.34,-8571.43,-8571.47,-8571.53,-8571.59,-8571.63,-8571.65,-8571.68,-8571.71,-8571.74,-8571.76,-8571.79,-8571.81,-8571.83,-8571.83,-8571.84,-8571.85,-8571.86,-8571.87,-8571.87,-8571.88,-8571.89,-8571.89,-8571.89,-8571.89,-8571.9,-8571.9,-8571.9
BAT,F8,3.97,-3501.5,-17286.98,-104140.07,-313325.27,-1811322.06,-31982972.25,-218391859.85,-713213282.37,-873423621.22,-2390343855.9,-22547543364.15,-60771825154.24,-353414305523.27,-850490883378.13,-2796513350357.27,-6562606597901.76,-214231539545334.03,-298724305946281.06,-830453241852743.4,-2.689780128674406e+16,-5.25395129225176e+16,-6.763079665035882e+17,-4.199908025465916e+18,-1.539614243585553e+19,-8.22021658304595e+19,-2.2552928982392278e+20,-6.340278579605722e+20,-8.306815900416645e+21,-5.711860938447486e+22,-1.0466130107413195e+23,-3.416339256085044e+23,-1.014938033222834e+24,-1.1485986988373345e+25,-2.300778708451326e+25,-1.0110884560416852e+26,-3.131787558982382e+26,-1.8079368286480768e+27,-4.434715459176346e+27,-6.122389487462517e+28,-3.452379067127662e+29,-4.499992579599886e+29,-3.393596498033041e+30,-6.473437357725513e+30,-4.805114231202179e+31,-1.0518057782075553e+32,-5.2235134871425545e+32,-3.1149996377364855e+33,-8.697041257983473e+34,-3.7111477109754026e+35,-2.1596056816658766e+36,-1.4808126890577302e+37,-3.8353568631071536e+37,-2.165582194536087e+38,-1.5748648106676347e+39,-3.146370418993336e+39,-1.011238481651493e+40,-7.722521662544072e+40,-2.9718796312417564e+41,-1.7001735825715142e+42,-2.332481321822227e+42,-3.6145874778516695e+43,-8.407462885390872e+43,-2.9069992071519936e+44,-2.4577865774854125e+45,-1.6278513647813327e+46,-4.1991894896423713e+46,-3.502212387113109e+47,-7.66913995162635e+48,-7.675761151980726e+48,-7.683934984537815e+48,-1.668429177368614e+49,-1.0410609919189108e+50,-1.4047645153768657e+51,-4.839078036483408e+51,-9.608762906192656e+52,-8.32997034754514e+53,-2.351766580682278e+54,-3.540368266803197e+55,-4.956044981765376e+55,-1.8009956304136423e+57,-3.44961803523761e+57,-1.3149400579712223e+58,-9.609403077038676e+58,-5.274383711472163e+59,-1.3258277135874036e+60,-3.542231063082202e+60,-9.609654127813254e+60,-1.2665560845823534e+61,-3.5726784289243233e+61,-5.473381763798429e+62,-3.650902578522337e+63,-4.208395290582049e+64,-2.502772310311037e+65,-1.1461593012377631e+66,-8.672328818285556e+66,-2.83294393406638e+67,-9.578736100809796e+67,-5.040965556388401e+68,-6.422197782050588e+68,-7.676408480824248e+69,-8.795691183670148e+69,-6.834617557306661e+70,-1.1155396354811142e+71,-4.199705581596528e+71,-2.3723597890773237e+72,-2.4174047332003478e+73,-4.294338759310177e+74,-1.4142309413816335e+75,-4.723205166792318e+75,-2.958342279930978e+76,-1.5292172653835671e+77,-4.906837261013048e+77,-7.506575277056258e+78,-1.0970912175825576e+79,-2.1784778039734145e+80,-1.3704055966639006e+82,-6.418502891067933e+82,-1.3112252019045242e+83,-4.0141258534922466e+83,-1.1539020537690662e+84,-9.582194558787236e+84,-1.6398541631484668e+86,-3.778180957827697e+86,-8.098695691532724e+86,-7.360644436037074e+87,-1.1731675559116074e+89,-5.034313269031391e+89,-1.2159950420033835e+90,-6.942906222525464e+90,-4.716271086598537e+91,-4.425803765703385e+92,-4.425816372837638e+92,-1.1695890327408368e+93,-4.344113124414906e+93,-1.2132405349059993e+94,-1.838093215945534e+95,-3.516741016002221e+95,-2.9999137842233964e+96,-2.2578591979844664e+97,-7.842349659943805e+97,-1.1970037921591298e+98,-1.999310841526714e+99,-3.057869624063626e+99,-4.862671559796525e+99,-1.78221792468053e+100,-1.9215880875278683e+101,-1.921986420551948e+101,-7.959199388020489e+101,-1.4655096366143206e+103,-2.712275325038518e+104,-8.830196925675541e+104,-7.619964161830123e+105,-1.263611530033455e+107,-2.1665529512381584e+107,-1.0778371906832658e+108,-6.59611535302584e+108,-3.5158843762632477e+109,-1.4043805386725907e+110,-6.793690632801926e+110,-2.838641044495185e+111,-3.3085030130622767e+112,-3.1910261515440497e+113,-3.9414617162228934e+113,-5.652048445342068e+114,-1.6382409648328757e+115,-1.922940137157819e+116,-4.10822548915812e+116,-1.0852505265059199e+117,-5.871808481943279e+117,-6.475725654064425e+117,-3.2877615357567687e+118,-9.467447360630077e+118,-1.1965551568079801e+120,-4.2425576116198664e+120,-2.38590613075077e+121,-1.632384095655136e+122,-2.709802008613073e+123,-4.021072397285418e+124,-6.604292098995603e+124,-4.432380905049919e+125,-4.432382440820753e+125,-3.847837202042232e+126,-3.847838043464075e+126,-1.3740072553583263e+127,-8.829746117365308e+127,-1.3820275201933415e+129,-5.237915578646768e+129,-1.964274785037006e+130,-3.017634909106826e+131,-5.410413929670571e+131,-1.7195037540813052e+132,-7.633931552441922e+132,-1.8547433787960956e+133,-1.4444750270507198e+134,-1.6152198547542852e+135,-2.5798297277852144e+135,-1.5456681079113953e+136,-5.329189325648162e+136,-3.450056171009443e+137,-8.10493787392861e+138
GWO,F8,5.02,-2351.49,-2351.49,-2433.68,-2433.68,-2501.83,-2501.83,-2501.83,-2501.83,-2501.83,-2586.39,-2586.39,-2586.39,-2586.39,-2586.39,-2590.1,-2590.1,-2590.1,-2636.07,-2636.07,-2650.52,-2650.52,-2650.52,-2713.94,-2713.94,-2713.94,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2729.59,-2762.43,-2762.43,-2790.75,-2860.03,-2860.03,-2860.03,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-2896.61,-3008.21,-3020.51,-3020.51,-3020.51,-3020.51,-3020.51,-3020.51,-3020.51,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3021.31,-3037.81,-3117.04,-3117.04,-3117.04,-3301.46,-3301.46,-3301.46,-3301.46,-3301.46,-3301.46,-3337.22,-3337.22,-3352.15,-3352.15,-3352.15,-3352.15,-3352.15,-3442.32,-3442.32,-3442.32,-3442.32,-3442.32,-3442.32,-3442.32,-3476.87,-3512.18,-3616.5,-3616.5,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3893.24,-3951.15,-3951.15,-3951.15,-3951.15,-3951.15,-3951.15,-3954.44,-3954.44,-3954.44,-3954.44,-3956.03,-3999.82,-3999.82,-3999.82,-4033.48,-4033.48,-4073.4,-4073.4,-4182.75,-4279.84,-4439.1,-4540.45,-4540.45,-4540.45,-4692.5,-4692.5,-4749.0,-4840.57,-4871.04,-4896.44,-4905.47,-4905.47,-5022.94,-5117.74,-5117.74,-5117.74,-5122.44,-5122.44,-5122.44,-5127.69,-5164.91,-5177.49,-5235.24,-5263.26,-5277.64,-5288.02,-5290.6,-5308.38,-5329.92,-5361.4,-5386.71,-5390.36,-5410.84,-5427.52,-5438.97,-5438.97,-5451.83,-5464.55,-5465.41,-5475.68,-5495.69,-5502.8,-5513.94,-5520.6,-5525.04,-5531.78,-5535.02
MVO,F8,4.06,-2367.4,-2395.52,-2474.43,-2515.79,-2550.98,-3011.65,-3011.65,-3011.65,-3326.89,-3326.89,-3326.89,-3326.89,-3326.89,-3326.89,-3374.62,-3541.62,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3798.18,-3972.57,-3972.57,-3972.57,-3972.57,-3972.57,-3972.57,-3972.57,-3972.57,-3993.49,-3993.49,-4104.36,-4104.36,-4104.36,-4104.36,-4104.36,-4104.36,-4104.36,-4104.36,-4104.36,-4152.69,-4152.69,-4152.69,-4152.69,-4152.69,-4152.69,-4152.69,-4204.01,-4204.01,-4204.01,-4443.14,-4470.08,-4479.23,-4479.23,-4486.86,-4486.86,-4576.45,-4576.45,-4886.64,-4935.93,-4935.93,-5008.16,-5008.16,-5008.16,-5008.16,-5008.16,-5008.16,-5008.16,-5032.97,-5092.3,-5126.38,-5142.97,-5142.97,-5142.97,-5142.97,-5142.97,-5160.72,-5187.63,-5187.63,-5187.63,-5187.63,-5187.63,-5187.63,-5196.06,-5196.06,-5300.94,-5469.24,-5469.24,-5469.24,-5518.13,-5597.16,-5597.16,-5597.16,-5597.16,-5597.16,-5597.16,-5597.16,-5733.22,-5810.91,-5810.91,-5907.07,-5910.46,-5910.46,-5910.46,-5983.53,-6127.47,-6163.21,-6165.85,-6168.53,-6206.08,-6206.08,-6277.26,-6323.58,-6343.9,-6343.9,-6353.47,-6360.01,-6361.22,-6383.68,-6445.35,-6463.71,-6500.01,-6500.01,-6514.95,-6526.45,-6531.16,-6531.16,-6544.49,-6560.57,-6612.38,-6641.71,-6678.73,-6688.96,-6711.12,-6712.93,-6722.12,-6752.53,-6780.69,-6786.55,-6819.56,-6835.88,-6847.07,-6869.57,-6875.13,-6882.0,-6887.83,-6903.04,-6914.82,-6921.02,-6930.84,-6946.55,-6959.54,-6969.58,-6971.48,-6978.7,-6984.03,-6990.18,-6993.32,-6994.52
JAYA,F8,0.86,-2225.69,-2225.69,-2397.87,-2860.07,-2913.23,-2913.23,-3240.26,-3240.26,-3240.26,-3240.26,-3350.29,-3350.29,-3350.29,-3413.92,-3413.92,-3420.95,-3420.95,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3436.71,-3493.12,-3493.12,-3493.12,-3493.12,-3503.18,-3503.18,-3503.18,-3503.18,-3503.18,-3503.18,-3503.18,-3613.37,-3613.37,-3638.41,-3994.24,-3994.24,-3994.24,-3994.24,-3994.24,-3994.24,-3994.24,-4044.92,-4044.92,-4044.92,-4044.92,-4059.62,-4059.62,-4059.62,-4317.07,-4317.07,-4317.07,-4317.07,-4317.07,-4317.07,-4317.07,-4317.07,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4376.56,-4439.18,-4439.18,-4439.18,-4439.18,-4439.18,-4439.18,-4439.18,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4524.91,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4531.89,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4603.47,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4637.57,-4709.96,-4837.06,-4837.06,-4837.06,-4837.06,-4837.06,-4918.44,-4918.44,-5055.84,-5055.84,-5130.9,-5130.9,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5146.41,-5156.26,-5156.26,-5156.26,-5156.26,-5156.26,-5156.26,-5156.26,-5156.26,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5160.87,-5161.41
