Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
SSA,f5,4.454002141952515,0.0,1070.7509012528053,999.7943497456533,999.7943497456533,999.7943497456533,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,957.6873001500751,920.1552649686491,920.1552649686491,920.1552649686491,906.9107787466407,906.9107787466407,906.9107787466407,906.9107787466407,906.9107787466407,906.9107787466407,906.9107787466407,896.4483542624295,896.4483542624295,896.4483542624295,895.5924045262075,888.1788602563015,871.6832354045974,871.6832354045974,871.6832354045974,871.6832354045974,871.6832354045974,871.6832354045974,871.6832354045974,854.7278261654164,854.7278261654164,848.1834215935501,848.1834215935501,848.1834215935501,848.1834215935501,848.1834215935501,848.1834215935501,848.1834215935501,806.1729660323094,806.1729660323094,806.1729660323094,806.1729660323094,806.1729660323094,806.1729660323094,806.1729660323094,803.8587496140317,803.8587496140317,786.9748376298849,773.343302634262,763.9799558232273,761.0749084244483,745.854060350456,745.854060350456,740.3685870237729,738.1204469630409,730.640475293602,724.289191756166,721.3815085488782,717.4807405957856,716.1763108076849,713.1770509507169,710.1411446705333,701.2477575791022,698.0240744302911,693.9408708809757,690.7669072439264,685.3988834258373,680.9085894695872,678.6971688584205,675.8168974588409,674.9794449124424,673.5281160656131,671.3362624616481,670.1933681743386,668.7679824167259,667.8131990218849,667.1913611390089,666.050797406987,665.4698796790631,664.769056722348,664.1588774011144,663.5378731084081,663.0687748365635,662.839055825588,662.470337622836,661.9922005158271,661.6668585824159,661.4553160923169,661.3235266315751,661.1933249602619,661.0828338027088,660.919578438906,660.8335211238634,660.751912569531,660.6499103389137,660.5661561530783,660.5009615144751,660.4403413194158,660.3808360600605,660.3504092522899,660.3150108124969,660.2890626974751,660.2695337625458,660.2449958923713,660.2170438070461,660.2011618286822,660.1850079885616,660.1647249069896,660.1505722178432,660.1380155429633,660.1284160080065,660.1190383811004,660.1115705691335,660.1032068468754,660.0967441947824,660.0900890351853,660.0867761130212,660.0827719468017,660.0795495897802,660.076395386993,660.0737308266998,660.0704558408615,660.0682067498553,660.0659300820503,660.0640346133007,660.0619790971949,660.060576088403,660.0598260721248,660.0591435355989,660.0584595323503,660.0579071075214,660.0574706188803,660.0568655209536,660.0565623826045,660.0562740623393,660.0560048856019,660.0557219386795,660.0554337405752,660.055257483681,660.0550617855067,660.0549055972996,660.0548316738099,660.0546971977292,660.05459387358,660.0545247671344
SSA,f5,4.394103527069092,0.0,1043.059931602649,1043.059931602649,1043.059931602649,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1028.0439761177718,1024.3588753911674,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1011.0929660972652,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,1004.7267140730712,989.9347127768124,989.9347127768124,989.9347127768124,968.7729795926525,968.7729795926525,968.7729795926525,936.6166537609995,936.6166537609995,935.5520105339388,935.5520105339388,935.5520105339388,929.094760704394,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,927.1974240565273,924.3198717771552,918.5992708241399,906.0932533392208,905.4518354484212,895.6379848717672,895.6379848717672,895.6379848717672,895.6379848717672,895.6379848717672,890.6743270530017,890.6743270530017,889.0582168856083,888.6211618121313,888.6211618121313,888.6211618121313,843.3996610488,836.7783838787367,816.9928114152817,816.9928114152817,816.9928114152817,793.9766434078815,793.3740429423452,793.3740429423452,793.3740429423452,793.3740429423452,793.3740429423452,793.3740429423452,793.3740429423452,793.3740429423452,786.3068414011107,772.6072330509585,772.6072330509585,756.2978087615061,750.1199629609132,750.1199629609132,750.1199629609132,750.1199629609132,741.4630168544685,738.1634985248405,721.2233312612169,721.2233312612169,712.4470517042251,712.4470517042251,706.9980889943481,706.9980889943481,700.4536534560109,694.6092126143326,686.3553854943603,682.1024328002263,673.8566102939282,669.3269570330278,666.3628066202313,661.4350191240189,656.5630503126359,654.3808158018362,650.7898973819302,648.8043563207399,645.0510513567792,642.8784327020028,638.6262572730835,636.4242181704595,634.2557890385704,633.4240127103053,632.5703614992499,631.2462147786214,630.0852334415875,629.0315556256777,628.5671161444516,627.377941830672,626.7825039041252,626.0258256426596,625.5687310426038,625.2500779951279,624.5222515279152,624.2795621084208,623.899059372867,623.6837433605704,623.4206758137276,623.2387205994143,623.0116232788637,622.7867988382524,622.6023051588727,622.4580948266589,622.3788823806706,622.2897482818722,622.1868949014978,622.0948741815349,622.0233523541789,621.94017413697,621.857907680771,621.8109771982859,621.7533979852485,621.685678281076,621.6504997671169,621.6119633687208,621.573368902135,621.5362038417859,621.5121524199033,621.489128446897,621.4711455542451,621.4510237031102,621.4376826897717,621.4267991505586,621.4166532813132,621.4068133771306,621.40099172381,621.3917626900078,621.3866604254464,621.382268441019,621.3780276357625,621.3757410127529,621.3720693223295,621.3694457275657,621.3669426812891,621.3647778769571,621.3629666029067,621.3612868827819,621.3599803113106,621.3585405105044,621.357283324134,621.3561738821344,621.3553100033585,621.3546952162151,621.3537485118583,621.3531132516239,621.3525559303538,621.352105262552,621.3516600977046,621.3514725999048,621.3513458914462,621.3511723113114,621.350957977785,621.350824457389,621.3507057172836
SSA,f5,4.288996934890747,0.0,1058.234903497435,1055.8506459763205,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,1010.384176796224,998.1512027239493,998.1512027239493,958.3255320162523,958.3255320162523,958.3255320162523,958.3255320162523,949.5516323024499,945.1347818765917,945.1347818765917,945.1347818765917,945.1347818765917,945.1347818765917,945.1347818765917,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,934.3548655408478,905.7086788423181,905.7086788423181,905.7086788423181,905.7086788423181,891.7701554706587,891.7701554706587,891.7701554706587,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,890.5284965554812,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,882.4231692718081,868.2300448438164,850.8903168156655,850.8903168156655,850.3804622193991,838.3790869781947,838.3790869781947,835.4094307085169,834.4096758981391,822.6935537562396,806.2392911384804,806.141033301489,789.3450259532283,784.4549347650582,774.2651572936784,772.2638531315533,765.8376060875701,753.9617666481124,741.1596403368635,737.423749888078,733.0230588378681,728.0230310503732,722.5010660880955,722.3388102937388,715.4419889244986,710.478928689427,708.4950611864389,706.3061742906727,704.9054063299851,701.7235761102363,699.7490147201297,698.5739070883832,697.0448224578403,695.975676609647,694.6386047830863,693.5332001601374,692.9002878004235,692.4561832915309,691.4083892105551,690.6998878314507,690.2744761603502,689.9647732315791,689.6060231254505,689.3214777710293,688.9912889209254,688.7875806879522,688.5582425566952,688.3380546389392,688.0386158451072,687.8681047101984,687.6923525856857,687.5906346650423,687.4943049127077,687.3541754731798,687.2358125746778,687.1738054943542,687.0538722528543,686.9920287925297,686.9461586272137,686.8863906183859,686.8410157263937,686.8086192484983,686.7705428034932,686.7327401835546,686.7059681703473,686.6599031216485,686.6399475690988,686.6249677629908,686.6060372756788,686.5944950105423,686.5823832237048,686.5708419373082,686.5605251428356,686.5510861042807,686.5370092914362,686.5299648962434,686.5254667512161,686.5198333184744,686.5162316504562,686.5136604230959,686.5095717696713,686.5065920148812,686.5045279875484,686.5019422633655,686.5003803099543,686.4991988459216,686.4977805417992,686.4966042542512,686.4956250008146,686.4943585813058,686.4933423809427,686.4927233131567,686.4921467436544,686.4917056245631,686.4911728160527,686.4908465264108,686.4904967635364,686.490170068917,686.4899565630703,686.4896811541842,686.4894859232562,686.4893395403465,686.4891911889526,686.4890923182277,686.4890137363838,686.4889329437749
BAT,f5,4.38599967956543,1029.089471845341,1012.9000477250481,1012.6731070647011,1012.4131192844812,1012.1203429606531,1011.8800960176831,1011.6216303913316,1011.3780650707299,1011.2190626187324,1011.043018814368,1010.8394068957468,1010.5560857120378,1010.311664683764,1009.9686264883272,1009.8672886709498,1009.6828584092265,1009.5561050979838,1009.2897533112704,1009.0159789590195,1008.9269747949184,1008.7493053323669,1008.6569256901038,1008.3930443635797,1008.139331943501,1007.9801857865873,1007.730910897644,1007.6078566701746,1007.4538452415079,1007.2825117843093,1007.0021206961295,1006.7634490608252,1006.6241296530641,1006.4823924836221,1006.2735076742448,1006.1227751193447,1006.0357227932609,1005.9092984930766,1005.7488126750874,1005.5372102044721,1005.3551915861634,1005.1736233187174,1004.9627316094618,1004.8795547285459,1004.7295646081739,1004.4344028723972,1004.0639096736732,1003.7354106087616,1003.5365476359561,1003.4219384511573,1003.2163524872825,1002.9743579901694,1002.7638082804933,1002.5264382120195,1002.2809587764193,1002.1143803313633,1001.9262050256962,1001.7604271999269,1001.658809300676,1001.482985754031,1001.3118435207747,1001.2378123238145,1001.126107267439,1000.9442929809983,1000.6454873549496,1000.355140181834,1000.1143163416443,999.917554869997,999.5992064585764,999.5148270983715,999.3429650162482,999.1490975458895,998.9915322215559,998.7775158157079,998.6193258354881,998.5286957481172,998.218837674522,998.04207746006,997.9003492422007,997.7577231716308,997.5205493670762,997.3812463526897,997.2002906217788,997.0564794541071,997.0072600384399,996.8345624104663,996.7473990319849,996.5332569344331,996.333389767068,996.1055590891551,995.9553223073374,995.7905750240678,995.6142099513104,995.4600020521216,995.2033616707932,994.9291829232095,994.7947923050692,994.6430241586226,994.3201421181867,994.1107224180123,993.918401278967,993.7693637153484,993.6238107522545,993.403063939677,993.209734130364,993.0794035445624,992.8760123129732,992.7320395250598,992.49023984474,992.3571616714507,992.1363316111033,991.918830045435,991.7842236152018,991.642995224199,991.4948725644429,991.2301654603972,991.0162303883449,990.8123045083933,990.6108671200651,990.4920711354127,990.2914775697684,990.0848485157269,989.9099060001508,989.707561223813,989.5599403759529,989.4553271386367,989.3327927228714,989.1813776173956,988.9424814942361,988.8814832360123,988.7481218826772,988.5993086894016,988.3288727704016,988.1326593832953,988.0413253140817,987.9444294968,987.8199556503073,987.7130868754018,987.4735615656205,987.2216878236812,987.0546698093135,986.8752415866385,986.6990400777324,986.6189069904867,986.414361170891,986.2050662377208,985.9726468620995,985.8206417598196,985.5902853849948,985.5466217833141,985.4344940210178,985.2497297612085,984.9684946019521,984.8894906398519,984.750460785512,984.6132480961237,984.4115605990695,984.0502381162521,983.8436120150527,983.5615381749312,983.3211941111605,983.0741225127506,982.7798783951735,982.6483995646774,982.5832459585009,982.4225013512556,982.3310359082096,982.2068365898157,981.9746060715582,981.834311508282,981.5992528722023,981.4745604044931,981.3436450610385,981.2377592379585,981.0998426365408,981.0030137364834,980.8407572713884,980.57326142809,980.4631816512878,980.27661641751,980.0637356513374,979.8960507426866,979.7386234511255,979.5320538162574,979.3165385787885,979.0626290184377,978.8151249497037,978.6625440877255,978.512821241512,978.3621204114369,978.2585092706636,978.0416862113403,977.8289040327084,977.697064473573,977.5979213916781,977.4073214260989,977.0985208581121,976.9572673582737,976.7363045622237,976.4107793034644,976.3352161410081
