,eso_F1_0,eso_F1_1,eso_F1_2,eso_F1_3,eso_F1_4,eso_F2_0,eso_F2_1,eso_F2_2,eso_F2_3,eso_F2_4,eso_F3_0,eso_F3_1,eso_F3_2,eso_F3_3,eso_F3_4,eso_F4_0,eso_F4_1,eso_F4_2,eso_F4_3,eso_F4_4,eso_F5_0,eso_F5_1,eso_F5_2,eso_F5_3,eso_F5_4,eso_F6_0,eso_F6_1,eso_F6_2,eso_F6_3,eso_F6_4,eso_F7_0,eso_F7_1,eso_F7_2,eso_F7_3,eso_F7_4
0,8913.812235897645,10607.231368535731,13023.122722127575,10304.056356447167,13399.159306893707,1.2725737983482786e+25,1.1835948041901539e+26,3.012097528689356e+28,4.240191637792447e+29,3.620147988556147e+29,18986.039216234756,18157.6282175976,29023.89557641554,535.1067743478726,13456.181351058787,43.45888282705515,41.389590568714986,40.4052732331871,42.075853433026104,40.930747060700085,896708018.4868752,760130886.2822485,1229966253.7948537,1186542137.3460088,849357136.1592839,7724.913826189133,13624.70527777364,12313.509231711294,11216.686573554602,12506.999399171,106859912.75036761,58097329.75738504,127968803.2597981,132558006.71953431,211070909.56046703
1,2258.368980038053,1602.5188237817542,1880.220967828986,1836.265335593022,2268.0735023099705,3323415026576656.5,1449369153141925.5,1.0453882707802689e+18,3.544739077016834e+18,3.3837545286522404e+16,5822.823324625636,3866.0528119134533,4775.176259272699,514.1183439271459,5220.779857888999,16.293742073004026,19.2532993087171,16.414701064816704,16.74039697839709,17.788906629868467,43566638.28386732,44489832.17203533,73904468.52245785,23122172.39092342,32681265.081339084,1022.9623383902991,2505.6736074289606,2265.360779024365,2306.3748461799173,2849.773736589462,3261058.762252553,425672.0078037042,6190434.712165692,3084818.314047354,287029.1412276438
2,342.7490145753608,86.20513862714579,296.77936854870796,386.2339392092535,427.35136579096167,125016.39517215341,4.1341871586056,715302.844377848,102398.59385363493,4641.030019823325,955.0359762775938,1280.4472821877769,1398.3811012207693,114.26221156686387,1895.3707223098681,9.198161973488704,9.928129950352222,8.655543099083477,3.755792407381975,8.388856626554057,1318817.8791490078,135270.9478472374,3069430.1329555907,994739.5657901685,1544821.4808742707,300.4244674806868,513.3526582143959,549.5750073655869,383.3052302724182,418.94879862269624,177824.24790162215,42479.938768524866,254308.6634461934,116938.34917809188,66831.16955562848
3,63.36067375021132,22.15324777002136,67.33763628123893,70.95516260556998,0.01480582311856661,41.3656547477434,2.0314411628599847,36.78656128236347,37.53866080326968,49.43461536516854,271.5691314594565,263.21468867476875,356.83513760438933,36.48898049953507,408.1630843778883,2.243475421189917,4.374442303853565,3.7999480233304537,3.2826823306215416,3.2147298593926905,795.282701581689,13176.040305342438,135682.17324404142,60850.57675108077,64944.25541165832,14.148699856507575,111.40427669700155,79.62139310307816,115.35067636177743,21.99003900312326,134.65664594501553,2625.3526439802827,7460.144567723773,5838.091561357328,3710.7078352052836
4,9.113791570913998,3.789890338763965,9.983814103216613,16.49787490045268,0.006116946806319942,18.776182163597063,0.7924634489145411,15.669071165758716,16.730603985428473,22.123108514126532,64.1130655345192,44.3261734642959,61.69818963330235,9.187787107066452,71.69799498685454,1.6110670752597152,1.9199615640562038,1.7452581765150768,1.54683256947106,1.8589628435798256,248.91168613102602,1168.2186691260965,615.7776672493809,2617.362348251411,6976.521192611649,8.008813504347541,23.559957329519435,19.317541434974984,26.263058850902212,10.663552580164282,3.371313584493678,67.94083519587558,165.3277429426176,395.9771959463183,147.26707270296086
5,1.272214240367177,0.7652224907789711,1.7000001557639164,3.249431751417765,0.001147589315118558,7.733174705034942,0.3938126900414052,6.560225758076751,7.283514567128721,8.2748162035826,12.148897864659512,10.585761201615794,19.689612073362103,2.379626059769762,13.861500163749279,0.8660241539931576,0.6958153256621931,0.8038424058893979,0.5956693813930725,0.8592155677821272,71.0480640714072,220.78150042315193,153.64883187383933,403.46051453133606,405.4069000545144,6.486946773810153,8.866946312430345,8.654087573542283,10.661950218603266,7.10518640553768,0.6439645021644181,5.507096921151637,9.237637328917526,15.832941810865082,7.45031784361
6,0.28520321041602475,0.15613519541033224,0.25012529476336676,0.5951034325289677,0.0003442469018377,3.271818465676271,0.18207228490517902,2.549916149328877,3.1450202066192308,3.8503892386891816,2.217000142361497,3.343144983307409,3.1709038873420123,0.37963586905412905,9.118267621350718,0.3187193123180148,0.39374178543614047,0.291622840039746,0.3362808472952907,0.4070168530973763,39.38544407567029,61.09629422196466,45.2770397103723,73.84837466409047,104.8958234188886,6.044948563385187,6.213406045129737,6.8502976768868935,7.23856406228223,6.334343713103047,0.14011713169780565,0.19307662005566945,0.536244462905515,0.29666886500668777,0.4101780514102509
7,0.06169905331818004,0.028948926386286197,0.061867577821746504,0.0925779958640051,8.173209741038134e-05,1.4304744984652393,0.10380720658753129,0.9691621092035652,1.275858030166566,1.5608598261661082,0.6891941942393344,0.3657888126663075,0.5707086832569312,0.10578802869723684,1.069457086707881,0.19266693010095504,0.1739423729064568,0.1868983110725314,0.11013189976880843,0.17786071793511962,30.452948237307243,35.12461588120844,31.74124567439277,37.305990411923396,40.953334234674166,6.044948563385187,6.184805205577764,6.535989433212581,6.786663810549964,6.334343713103047,0.04947213089344806,0.05714603562514125,0.10075631291745166,0.13275467671305252,0.05159221438942701
8,0.0113667392210458,0.0066424822254373085,0.013634184602802543,0.017649606051783295,1.603997711634756e-05,0.6115565475435697,0.053858097718720355,0.38328967054293245,0.5501936089232765,0.5645891399390286,0.12583842305288173,0.08929551726751415,0.14169961254548089,0.01842408253838282,0.2597323387542688,0.07579344566961135,0.06872364028149572,0.08253205646088763,0.06109944697055599,0.09562543330579627,29.330237479188156,30.095343620038932,29.290718883063285,31.214221673236903,31.515519308220068,6.044948563385187,6.184805205577764,6.520123869259349,6.786663810549964,6.334343713103047,0.004796536871305297,0.037722075257917265,0.02414700337108506,0.032083188546080756,0.03363304598693578
9,0.0019292077249941876,0.001530019979010739,0.001950059333969434,0.004349747693234616,3.8704555376239274e-06,0.26943459045080526,0.021770724774405156,0.18485351145298706,0.25339265939466776,0.2523879036352114,0.045864750572335376,0.021715965709351102,0.028579206252279082,0.00865124321316968,0.05932650703138295,0.024857476480428634,0.041870065378687926,0.04020092311723973,0.02813502349011587,0.03210747082215567,29.05501276710427,29.124526252397402,28.94512629060289,29.266801589234138,29.447795465272257,6.044948563385187,6.184805205577764,6.520123869259349,6.786663810549964,6.334343713103047,0.004796536871305297,0.0018109808096335046,0.02414700337108506,0.007014446249236604,0.013088864415583967
