,eso_F10_0,de_F10_0,ga_F10_0,pso_F10_0,eso_F10_1,de_F10_1,ga_F10_1,pso_F10_1,eso_F10_2,de_F10_2,ga_F10_2,pso_F10_2,eso_F10_3,de_F10_3,ga_F10_3,pso_F10_3,eso_F10_4,de_F10_4,ga_F10_4,pso_F10_4,eso_F11_0,de_F11_0,ga_F11_0,pso_F11_0,eso_F11_1,de_F11_1,ga_F11_1,pso_F11_1,eso_F11_2,de_F11_2,ga_F11_2,pso_F11_2,eso_F11_3,de_F11_3,ga_F11_3,pso_F11_3,eso_F11_4,de_F11_4,ga_F11_4,pso_F11_4,eso_F12_0,de_F12_0,ga_F12_0,pso_F12_0,eso_F12_1,de_F12_1,ga_F12_1,pso_F12_1,eso_F12_2,de_F12_2,ga_F12_2,pso_F12_2,eso_F12_3,de_F12_3,ga_F12_3,pso_F12_3,eso_F12_4,de_F12_4,ga_F12_4,pso_F12_4,eso_F13_0,de_F13_0,ga_F13_0,pso_F13_0,eso_F13_1,de_F13_1,ga_F13_1,pso_F13_1,eso_F13_2,de_F13_2,ga_F13_2,pso_F13_2,eso_F13_3,de_F13_3,ga_F13_3,pso_F13_3,eso_F13_4,de_F13_4,ga_F13_4,pso_F13_4,eso_F14_0,de_F14_0,ga_F14_0,pso_F14_0,eso_F14_1,de_F14_1,ga_F14_1,pso_F14_1,eso_F14_2,de_F14_2,ga_F14_2,pso_F14_2,eso_F14_3,de_F14_3,ga_F14_3,pso_F14_3,eso_F14_4,de_F14_4,ga_F14_4,pso_F14_4,eso_F15_0,de_F15_0,ga_F15_0,pso_F15_0,eso_F15_1,de_F15_1,ga_F15_1,pso_F15_1,eso_F15_2,de_F15_2,ga_F15_2,pso_F15_2,eso_F15_3,de_F15_3,ga_F15_3,pso_F15_3,eso_F15_4,de_F15_4,ga_F15_4,pso_F15_4,eso_F16_0,de_F16_0,ga_F16_0,pso_F16_0,eso_F16_1,de_F16_1,ga_F16_1,pso_F16_1,eso_F16_2,de_F16_2,ga_F16_2,pso_F16_2,eso_F16_3,de_F16_3,ga_F16_3,pso_F16_3,eso_F16_4,de_F16_4,ga_F16_4,pso_F16_4
0,9965.986408836903,9640.482687734991,10841.88870125313,11038.624330243852,9881.336960116678,11361.451401201502,10443.033649004827,11874.710190172978,10330.349401877742,10752.153377485982,10217.428585609856,10761.040910583148,10052.415141300076,11657.97269563919,10958.3941316152,10485.509566704759,9817.616200987251,11223.816405189618,10161.639146132107,11106.564199149669,14723.670940741562,45520.16745722547,64587.141489652364,31082.245113429944,20909.950453448888,56265.279451761606,31488.866534541765,51417.83210835234,15948.848006777924,34412.3071013834,70347.62974630913,59688.61243107991,9499.261270839157,93655.38536299634,64897.42520192117,104016.97944407565,15482.278986426336,39834.2358744236,53131.63018657227,44268.630187769864,102408418286.61786,192298223817.36798,212945189693.70633,348431419234.01965,106491554408.08313,104385221747.60715,109860623886.14453,326439067149.0842,168905141426.33725,197744588803.1783,233627050764.0839,459100677544.8916,119464714447.79378,302556138189.4515,180054342884.91037,261606276762.21457,120379176041.58337,173166181726.5381,162731111093.60373,383109223549.7116,144902701536.95596,276768998132.9826,337505907785.72174,476480024870.79095,96576916255.32343,142411909992.73276,340033084901.5032,328021777999.97363,135039709923.69159,291300761448.8808,254873447536.6884,141291391299.3235,64868164331.99808,127679538667.96553,295663090678.62354,327698844119.81494,149691392510.34506,210906147105.70322,239409343976.79935,327215063187.2069,10245628.99364127,201168202.51113462,113218109.78529137,139336408.81071413,21247722.330292407,68825542.68540229,31155940.547505606,116679881.43742853,11704478.971093269,97629563.72688581,89300552.37230998,44441639.037812635,4743233.358727041,169486284.40656397,26325051.49258078,190511188.48564446,38954102.998025,29082788.98656987,245238360.38278142,12443841.505827127,12844856393.096682,54433633960.35932,63907902979.02125,138497424541.68863,791521049.2108719,49584429508.09866,64336383402.85544,160862592101.71588,10529840569.092499,101664823193.09348,43646488119.115616,64894751031.7715,10620368886.399723,61199322101.63929,107842557472.69621,85547535605.31078,5371306724.855057,100613924618.3933,53868136387.929596,64480243414.63613,10013.979742587824,7920.4626153601475,13076.45088398804,14812.606862045597,8905.402737977074,8920.685894414333,7786.199973450011,9519.799339252979,7893.778048782625,8135.783718166152,10219.647130616268,8776.813776227598,7023.74338250337,7182.2149527802285,7609.867580792226,11050.432724980248,8001.376019435931,9690.0976164472,8121.286534264663,9957.864864384339
1,9965.986408836903,9640.482687734991,10293.979767919896,10965.785272257017,9806.50221016852,10731.170279938004,10771.389728230406,9296.477878646232,10330.349401877742,10752.153377485982,10548.102900734035,10761.040910583148,10052.415141300076,10530.79418302442,10308.617978705232,10485.509566704759,9817.616200987251,10775.634687630547,11022.865548285597,11034.800286093683,8527.386225682152,21798.581624435228,60536.338700866065,31082.245113429944,13979.460141017656,49792.050043029914,34568.0268656489,51417.83210835234,14791.694085892286,34412.3071013834,69183.95269510767,59688.61243107991,9435.05244599585,57894.36797452171,60375.57747695977,66888.27478683968,14670.741278787702,21812.860546612756,30257.001999734424,44268.630187769864,89723081365.51521,180163974677.99158,118056377658.35748,348431419234.01965,104513554527.69972,104385221747.60715,113472509682.26653,326439067149.0842,153996429501.89746,144959038787.28397,107348115324.0809,459100677544.8916,92664809020.93301,185988668326.59308,145951214107.3082,261606276762.21457,115885591662.58154,158827966195.9389,162729911531.21582,383109223549.7116,144902701536.95596,276768998132.9826,153991925475.8619,476480024870.79095,96576916255.32343,142411909992.73276,263690517220.29163,328021777999.97363,135039709923.69159,157800701250.96368,254873537017.73685,141291391299.3235,60430170060.69529,127679538667.96553,198417615568.46487,297405523230.5356,137746199302.1443,195200545383.31357,180841243776.33203,327215063187.2069,10245628.99364127,51917639.45070015,62413288.74897256,51662174.71765892,4170442.9113212493,52531847.23486731,30781229.390343145,102402253.30490126,8808540.604578251,33770472.37823043,57183811.08060159,44441639.037812635,4743233.358727041,68001054.25034812,20693802.858415626,190511188.48564446,38277220.680189356,8939575.592763804,88158261.00467329,12443841.505827127,8223515262.089234,39628078542.50762,40411848511.371284,138497424541.68863,791521049.2108719,49584429508.09866,64336373724.57512,160862592101.71588,10529840569.092499,36704015963.479164,43646515844.93874,64894751031.7715,8364793516.748,61199322101.63929,104612332098.78387,85547535605.31078,5371306724.855057,59702567959.63785,25814173522.59645,41941666507.08506,9467.33694023194,7920.4626153601475,7230.096522174866,14812.606862045597,8905.402737977074,6141.857269313242,7159.041333803289,9519.799339252979,7133.160796398883,5763.32589693005,8317.845500506926,8776.813776227598,7023.74338250337,7182.2149527802285,8078.204094835651,11050.432724980248,7107.8855048564965,8625.22882487359,5884.631352262072,7139.881810090723
2,9965.986408836903,9640.482687734991,10293.979750306147,10965.785272257017,9806.50221016852,10731.170279938004,10771.398751530327,9296.477878646232,9839.448060597915,9918.029458371038,10544.644749605483,10761.040910583148,10052.415141300076,10530.79418302442,10488.059912401188,10485.509566704759,9817.616200987251,10473.566536464426,10005.429672803008,10879.176724634026,8527.386225682152,18500.589905952405,39449.476410435615,31082.245113429944,10701.097188399215,29673.153757568714,26522.888409634194,51417.83210835234,10473.128010602773,34412.3071013834,28042.76466344563,59688.61243107991,9435.05244599585,33426.475616098694,49673.86700958448,66888.27478683968,13433.38376125807,21812.860546612756,31963.719653882534,44268.630187769864,78740130999.78493,164472440550.83017,93264070692.16476,348431419234.01965,94111032746.06111,104385221747.60715,91756873311.99922,326439067149.0842,138810797659.90668,144959038787.28397,114185296189.68483,320845750228.36285,84817472478.71065,185988668326.59308,70393144737.73933,261606276762.21457,107288505764.61154,158827966195.9389,89505014502.62708,383109223549.7116,123603722965.92093,116879235530.67203,153991925475.8619,338335743953.53143,89416598753.69241,142411909992.73276,151565947701.40732,324375978352.7088,135039709923.69159,157800701250.96368,68690577651.01257,141291391299.3235,56483696816.86452,127679538667.96553,200409879586.5215,297405523230.5356,112414817055.46817,195200545383.31357,138398807192.1987,324775189096.8516,10245628.99364127,4728796.341688122,89939675.69683425,51662174.71765892,4170442.9113212493,52531847.23486731,4154284.1278615333,64105382.90177503,8808540.604578251,26284305.549120672,57183811.62730047,44441639.037812635,4743233.358727041,59845670.66981336,20694011.566145852,8597147.638343845,37616039.37180286,8939575.592763804,55883760.94377202,12443841.505827127,8005736224.236891,39628078542.50762,40411852460.05054,138497424541.68863,663953022.9597099,38092381294.094925,23489232379.777756,160862592101.71588,9074503993.624594,36704015963.479164,13351421670.244642,64894751031.7715,6137785326.443226,49905580025.62418,75192485105.5321,85547535605.31078,3476356244.499308,59702567959.63785,25814169771.00695,41941666507.08506,7226.466926055728,7044.6385099111085,7312.254731207769,14812.606862045597,7330.937935758406,6141.857269313242,6455.903448423223,9519.799339252979,7133.160796398883,5763.32589693005,6554.774912072891,8776.813776227598,7023.74338250337,6426.034171728166,6758.495886272996,11050.432724980248,6762.219775560234,6965.599347877382,6265.827150817247,7139.881810090723
3,9946.855469369186,9640.482687734991,10618.833574167355,10495.218780605348,9806.50221016852,10705.281765190326,10659.466298409961,9296.477878646232,9839.448060597915,9855.891273021001,10302.737829776006,10761.040910583148,10052.415141300076,10530.79418302442,10452.909839392469,10298.801678857326,9817.616200987251,10473.566536464426,10005.429672803008,10879.176724634026,8527.386225682152,18500.589905952405,39420.946509119785,31082.245113429944,8136.16876404555,29673.153757568714,29242.101606917724,51417.83210835234,10473.128010602773,34412.3071013834,28042.644896802765,59688.61243107991,9435.05244599585,33426.475616098694,32384.107081691785,66888.27478683968,13433.38376125807,21812.860546612756,34519.801180775445,44268.630187769864,71076540653.66605,164472440550.83017,77605696956.6048,219530846806.65182,83240072783.75943,104385221747.60715,85009160238.3437,303430349513.5383,133389731280.40993,144959038787.28397,113602612244.14503,225368355223.5855,79624145201.84026,176180580538.90103,65418374540.48799,200913250069.925,84195048486.86932,109139063983.29285,71804088538.7792,258245332153.6383,52557757895.9119,116879235530.67203,113033548971.18321,232007360269.0467,83911736769.06317,68727043773.9453,158682671687.66595,181437245233.44287,135039709923.69159,157800701250.96368,70624804934.7373,141291391299.3235,53003183920.28114,127679538667.96553,178853780200.64816,297405523230.5356,94265714644.52422,159176005179.11523,138398805940.0122,226581843681.3394,10245628.99364127,4728796.341688122,50760928.84074954,49385582.708125845,4170442.9113212493,52531847.23486731,4154284.1278615333,64105382.90177503,4848149.464506017,21553207.786653385,28893005.883143008,44441639.037812635,4743233.358727041,6690440.2207371015,20679160.459642705,8597147.638343845,24813618.429877378,8803074.660450807,34960724.62798915,12443841.505827127,6743464723.658114,39628078542.50762,56176295609.63039,124622698505.07596,663953022.9597099,29391596911.74181,15152875069.189991,160839563302.5345,6734855317.736415,36704015963.479164,8988197841.975487,64894751031.7715,3336407157.468509,49905580025.62418,57410273951.29771,85547535605.31078,3211367653.3031306,59702567959.63785,18354152590.13315,41941666507.08506,6322.922940677783,7044.6385099111085,6154.758909395769,13675.738302604459,5370.55055550293,6141.857269313242,7157.181208246625,9404.189866143886,6609.616787666126,5763.32589693005,5229.818948161901,8776.813776227598,6794.324038164794,6426.034171728166,6604.508935549725,9621.96930525344,5603.792477055207,6965.599347877382,6216.795918582056,6201.499549499017
4,9946.855469369186,9640.482687734991,10761.6933838645,10495.218780605348,9806.50221016852,10501.166691243925,10530.622033734675,9296.477878646232,9839.448060597915,9855.891273021001,10329.7113416084,10761.040910583148,9593.200333419221,10530.79418302442,9828.81562542319,10298.801678857326,9817.616200987251,10473.566536464426,10334.993315817694,10643.354449273706,8527.386225682152,18500.589905952405,42256.45860449475,31082.245113429944,6776.073652165276,26434.604059745216,23773.47114981526,51417.83210835234,10473.128010602773,23873.17647184152,28002.038073505082,47745.82743561757,9222.034278859166,29422.04547792269,34527.45340244023,66888.27478683968,12937.507556097782,21812.860546612756,32571.106033333515,43434.97537812738,51189759537.67211,138598317279.63025,53450630859.8724,213311835481.81168,66284767432.34203,104385221747.60715,49307999750.6044,126157418981.95569,132982840714.3747,144959038787.28397,65343191286.269196,137836889811.43814,75734857715.29851,130580390569.80411,36877475253.00785,172904659957.86087,79111306124.5661,109139063983.29285,71804087898.74138,226319167833.65378,50155584565.47826,116879173002.85603,113033548971.18321,198228270775.1286,66616200231.76729,49387147097.389435,148099980844.5948,181437245233.44287,132151209196.12865,157800701250.96368,51948963180.01428,59804514703.63205,49956711850.545074,127679538667.96553,100215494385.75426,197698986520.75198,82894719243.39853,159176005179.11523,85433938498.17511,165758157986.4195,8948098.488509245,4728796.341688122,50761065.96712714,36885920.10238984,4170442.9113212493,46691147.095291235,2908756.6284776595,64105382.90177503,4848149.464506017,21553058.06872621,24723340.962894265,44441639.037812635,2770644.0564617836,6690440.2207371015,18138550.69651383,8597147.638343845,7685532.308775887,8803074.660450807,42383938.53706921,12443841.505827127,1011257141.6077976,39628074053.882965,56176295593.68545,84829138053.4315,609278822.4891078,29391596911.74181,15152872850.18142,69554337452.40695,3355773455.9819555,20526971014.734787,12140725722.33295,46605094280.65239,2767940140.0234156,43732395682.68142,28399219071.020145,25797979127.054085,3211367653.3031306,42915721409.86201,17449939391.81644,24993507635.827126,6322.922940677783,7044.6385099111085,5818.455463484908,9423.14253860696,5111.116305608436,6141.857269313242,5370.965253835598,6770.43220563491,5539.65777028709,5763.32589693005,5935.561795428471,6111.133465330284,6454.637014780028,5916.065244386445,5668.371180898751,6648.124814189179,5603.792477055207,6520.273328593614,5388.88924084373,6201.499549499017
5,9946.855469369186,9640.482687734991,9917.981032003105,10495.218780605348,9806.50221016852,10501.166691243925,10491.78586078269,9296.477878646232,9839.448060597915,9855.891273021001,10943.777093887447,10761.040910583148,9593.200333419221,10530.79418302442,9819.86209491803,10298.801678857326,9817.616200987251,10473.566536464426,10617.877645338482,10643.354449273706,8521.439653687983,17200.835789216893,37980.08136667396,29291.789413245104,6776.073652165276,26434.604059745216,23773.214214797157,51417.83210835234,10269.881750039782,23873.17647184152,30523.09261182783,46192.19512232496,9222.034278859166,22758.900744957107,45707.639820498,49731.56054039642,12895.115616950503,21812.860546612756,33017.12993583199,31762.771445982475,51189759537.67211,138598317279.63025,55917845197.14543,166425739596.94965,52321004830.3725,104385221747.60715,47086321575.840546,80677428467.4134,59515443426.447784,110437869646.62643,65452207313.21852,114027324633.03807,72493657093.9837,95476208823.79161,36877475248.57744,172292527126.12012,73812290082.14076,109139063983.29285,46817608967.74934,123707988668.56805,50155584565.47826,116879173002.85603,113033583858.21646,157736162061.73108,61923111047.72161,49387147097.389435,102678212293.17708,113128413209.41566,132151209196.12865,157800701250.96368,49617523775.34072,59804514703.63205,47321420506.06838,127679538667.96553,80070654959.95589,145906044931.65256,77915932750.88818,159176005179.11523,85433938498.17503,163429941981.75696,8948098.488509245,4728796.341688122,41998098.710952476,36885920.10238984,4166422.1641352833,7409626.116400513,2769139.020945144,64105382.90177503,2787424.6660055057,21553058.06872621,12490057.05241393,12056510.297240306,2770644.0564617836,6690440.2207371015,20691846.91174114,8597147.638343845,7685532.308775887,8803074.660450807,51967862.99540377,12443841.505827127,1010402524.2466443,17993492648.10347,55564342188.86883,51097196695.6995,574567812.4127467,29391596911.74181,15152869886.034502,29882047113.07637,3302336107.0563326,20526971014.734787,11948483586.621412,25217275224.448765,1327122664.085826,43732395682.68142,22585079090.582405,25797979127.054085,1456685740.5378022,19125355444.09969,7350929147.833602,24993507635.827126,5809.895649089894,6135.491783005043,4799.987653004947,9423.14253860696,5111.116305608436,6141.857269313242,5344.241546618461,6149.042353718332,5539.65777028709,5763.32589693005,5498.677622017327,5902.499704563361,6249.771762356017,5916.065244386445,5450.045960112721,6050.310844177924,4679.687753341945,6292.216219953237,5146.302205138703,6201.499549499017
6,9868.787524085361,9640.482687734991,9837.509689949373,10495.218780605348,9806.50221016852,10191.695690899098,9373.38993589695,9296.477878646232,9839.448060597915,9855.891273021001,9871.181459921238,10501.195050223025,9593.200333419221,10530.79418302442,9818.83051544286,10298.801678857326,9817.616200987251,10473.566536464426,9316.687938859315,10643.354449273706,8521.439653687983,17200.835789216893,29487.80142004566,29291.789413245104,5889.211280884904,26434.604059745216,23671.37726381412,49893.321889042585,10269.881750039782,23873.17647184152,24036.246846922575,42654.170591482594,9035.66764463035,22758.900744957107,44607.582691707874,49731.56054039642,12895.115616950503,19101.733700732137,26955.58051382362,29857.529570805575,51189759537.67211,138598317279.63025,55085874012.54115,106939580399.11966,45975600434.082985,104385221747.60715,46331177006.48074,59652878046.28878,51603474942.55089,110437869646.62643,58152739461.592674,110283315220.52437,61940269760.77375,95476208823.79161,26564455755.307335,147675260679.31195,68512884303.55319,103225333623.20721,43457548563.07028,123707988668.56805,41877827860.2726,94585614177.03215,60056375476.46091,108988836333.08434,48155590051.372925,49387147097.389435,99875167034.79042,113128413209.41566,114556954963.65193,157800701250.96368,48646491681.80297,58636990937.33182,40911558962.21836,127679538667.96553,80070625074.16585,145906044931.65256,77915932750.88818,96140140781.98781,63282995250.97869,109721663557.28738,6028531.224149932,4728796.341688122,8945038.484548815,6785721.688502684,4166422.1641352833,7409626.116400513,1090001.6334161921,14587663.4168441,1136741.7378743812,21553058.06872621,11302794.147606064,12056510.297240306,2031343.739106734,6690440.2207371015,20638678.899980497,6144533.485903887,7685532.308775887,8803074.660450807,51967783.47083097,7790111.069855585,1001429570.8409169,17993492648.10347,55564342188.86883,33461050177.68499,238627073.35408244,12706538797.889336,14894037521.479437,29882047113.07637,3292875119.426038,20526971014.734787,5792583646.394362,25217275224.448765,833189008.7765087,38350505114.2168,22585079090.583096,25797979127.054085,1456685740.5378022,19125355444.09969,7090433852.09929,23276854304.910603,5739.783814763621,5780.90807349624,5408.940782538524,9423.14253860696,5111.116305608436,6141.857269313242,5296.608812131479,5083.248564743524,4787.129281362837,5763.32589693005,5133.553848603586,5159.2275399136015,5193.348815949831,5916.065244386445,4322.979032428764,5715.665997016521,4679.687753341945,5759.260843334084,5493.904906914286,5919.200582591863
7,9868.787524085361,9640.482687734991,9618.800051456194,10495.218780605348,9806.50221016852,10059.381355419597,9456.347088242526,9296.477878646232,9839.448060597915,9573.877043970615,8847.668648667996,9937.394159557285,9593.200333419221,10530.79418302442,9466.133634028163,9946.818365785673,9817.616200987251,10473.566536464426,9316.687938859315,10643.354449273706,8521.439653687983,17200.835789216893,32347.78158908159,20156.119694573892,5889.211280884904,23550.527214459715,16366.981201654706,42854.056555208546,10269.881750039782,23873.17647184152,24036.25197192907,39712.972973113836,9035.66764463035,22758.900744957107,43336.3566591197,27300.467716264353,12560.572586859895,19101.733700732137,23570.116577379333,29857.529570805575,51189759537.67211,95787618008.17906,47487501946.20049,98156998248.83827,37833827181.59039,104385221747.60715,46920884703.381195,59652878046.28878,47644604320.35738,102944630015.52173,39038855314.8884,110283315220.52437,52957928242.09575,95476208823.79161,25528883772.659874,147675260679.31195,65409395049.737915,93716016007.92828,41026789422.65081,123707988668.56805,41877827860.2726,94585614177.03215,41911664465.15331,108988836333.08434,47911927797.97324,49387147097.389435,32567634322.86555,96509586281.64503,108379304790.2781,157800701250.96368,48626482812.31538,51205081842.777664,37608642195.77849,109160899491.36494,80070625074.16588,145906044931.65256,46772374635.47443,96140140781.98781,51759410067.96458,109721663557.28738,5569963.440329614,4728796.341688122,8944981.655295637,6785721.688502684,3958501.9379785554,7409626.116400513,825554.8807593103,14587663.4168441,1136741.7378743812,21553058.06872621,9983903.553385098,12056510.297240306,2031343.739106734,6690440.2207371015,14614970.329084504,6144533.485903887,4918493.160125921,8803074.660450807,51373797.96833015,7790111.069855585,1001429570.8409169,17993492648.10347,33602470444.24569,31606887761.141697,145238934.20565322,12706538797.889336,13345606314.548302,29882047113.07637,3292875119.426038,19477997805.757195,5792574275.085099,25217275224.448765,833189008.7765087,31850251144.84814,18821102448.451958,25797979127.054085,1194899723.9441023,10879353675.878506,7090478834.529114,20202901579.643433,5507.152290809228,5780.90807349624,5008.788383914994,7947.4557166117265,4999.440359076461,6141.857269313242,5004.048278994872,5083.248564743524,4787.129281362837,5763.32589693005,5165.310704842674,5047.45545926892,5193.348815949831,5916.065244386445,5182.307356559168,5620.96052986261,4679.687753341945,5252.398463229534,5382.368851853261,5919.200582591863
8,9868.787524085361,9640.482687734991,9623.771079175493,10001.441028514428,9806.50221016852,10059.381355419597,9431.613086895795,9296.477878646232,9820.966653472124,9573.877043970615,8960.823810737715,9937.394159557285,9593.200333419221,10274.730370208792,8867.86816507312,9946.818365785673,9290.842017722982,10473.566536464426,9803.632178792801,10643.354449273706,8521.439653687983,17200.835789216893,22356.996828447765,20156.119694573892,5126.897142001253,21437.069709292264,16366.981201654706,42854.056555208546,10269.881750039782,22370.11119505883,23370.09221328393,39712.972973113836,8932.137011517712,22758.900744957107,41267.18045805062,27300.467716264353,12389.288940802415,19101.733700732137,22806.034299659565,15983.68754293239,51189759537.67211,95787618008.17906,38734136675.92574,67790768614.7374,30051152207.026714,93560292431.25314,37418603290.28673,59652878046.28878,47411697119.25379,88020031346.576,37317140705.74118,90063807258.61024,31700944087.545235,65131553427.552086,24305721345.539955,118416280837.12808,65409395049.737915,92884340757.78043,37180387524.83766,108927223647.5025,41877827860.2726,35546869577.15976,41095494426.87514,108004714869.35222,47911927797.97324,49387147097.389435,32578996409.425156,96509586281.64503,83414037433.11987,151533720644.37363,31072106298.872154,51205081842.777664,34663467580.94351,37510289285.21023,55480108484.25862,142431998527.54196,44463196089.34285,88100151639.2281,36549734542.11317,83611197784.64508,3889275.0822156994,4728796.341688122,8944920.498360619,6785721.688502684,3958501.9379785554,7409626.116400513,508049.8321386467,14587663.4168441,1136741.7378743812,8937118.559586843,9091219.532257874,11417472.68933291,1823495.5621812113,6690440.2207371015,14614970.329084504,6144533.485903887,4918493.160125921,8803074.660450807,42448894.73517343,7679965.407663486,914085144.0755248,17993492648.10347,33461506691.087173,18226249516.031082,98292834.27253343,12706538797.889336,13345601051.654163,29252018122.170853,3292875119.426038,19477997805.757195,5176019058.633111,25217275224.448765,833189008.7765087,18972441942.18664,17151620545.22527,24208663987.66213,372652608.3494177,10879353675.878506,7081835775.352406,13777482072.41764,5164.961872383078,5780.90807349624,4593.159295062846,7119.337127999455,4516.074074505657,5918.0947137200965,4822.6083216737825,5083.248564743524,4565.439934173548,5763.32589693005,4782.3508385519735,4575.89610915825,5193.348815949831,5916.065244386445,5239.286019471144,4937.906441877475,4587.961557160185,5252.398463229534,5290.630129101853,5692.539246452726
9,9868.787524085361,9640.482687734991,9449.836804028917,10001.441028514428,9806.50221016852,10059.381355419597,9265.126491576239,9296.477878646232,9820.966653472124,9523.192497775857,8934.905718527712,9937.394159557285,9593.200333419221,10274.730370208792,8867.801616701283,9946.818365785673,9290.842017722982,9869.5261409122,9496.61930750059,9875.25806091092,8293.61657623059,17200.835789216893,19761.59175131135,16955.020197869882,4805.644462665771,21437.069709292264,16366.981201654706,42854.056555208546,9816.740626017392,22370.11119505883,23355.595069541312,37413.01149373787,8593.87052545411,21208.991499673608,41267.15808964228,27300.467716264353,11302.856767415473,19101.733700732137,22806.030288022128,15983.68754293239,51189759537.67211,89199108124.95027,30358827677.947243,67790768614.7374,29729753176.696224,85777063260.94266,37434610467.993355,59652878046.28878,47411697119.25379,88020031346.576,37314704886.08563,88227620988.66289,31700944087.545235,60852800631.80424,24030808879.90146,111682123555.8256,44563610308.89855,56639039378.64408,35537225535.40097,108927223647.5025,41877827860.2726,35546869577.15976,34427636139.63153,74305497113.88435,26391575430.175606,49387147097.389435,32578996539.86322,96509586281.64503,70335763578.16753,149789092371.19577,28058578981.645184,51205081842.777664,32057488762.37332,37510289285.21023,55480133495.181786,103227104810.78151,31596160613.85554,88100151639.2281,32933236486.79353,83611197784.64508,3511098.3577330965,4728796.341688122,8944887.175243929,6785721.688502684,3958501.9379785554,3207276.1180404555,362710.68693531456,7357564.57519148,1136741.7378743812,8311071.0588044785,9091225.985643838,9734963.590987854,1399279.7285530379,6690440.2207371015,14614923.45954392,6144533.485903887,2794870.7407636954,6059961.485369269,42448892.88159353,6326516.0691862125,847919426.6074878,17993492648.10347,27477123441.38664,18226249516.031082,97711470.23416895,12706538797.889336,13339824474.68275,18778526832.94585,3000948624.891101,19477997805.757195,4790990682.15844,22305952527.722866,833189008.7765087,18314000837.879463,15758210281.581903,19922551443.175278,372652608.3494177,10879353675.878506,6934134974.221681,13777482072.41764,4996.899853737454,5757.073822781871,4741.172513561655,6726.055595507369,4373.131878353675,5650.78269926683,4822.6083216737825,5083.248564743524,4565.439934173548,5763.32589693005,5143.3871798536165,4499.226658247649,5177.789099891927,5654.66819649804,4990.002013179723,4937.906441877475,4097.804098864644,5252.398463229534,5101.164015583089,5692.539246452726
