,eso_F18_0,de_F18_0,ga_F18_0,pso_F18_0,eso_F18_1,de_F18_1,ga_F18_1,pso_F18_1,eso_F18_2,de_F18_2,ga_F18_2,pso_F18_2,eso_F18_3,de_F18_3,ga_F18_3,pso_F18_3,eso_F18_4,de_F18_4,ga_F18_4,pso_F18_4,eso_F19_0,de_F19_0,ga_F19_0,pso_F19_0,eso_F19_1,de_F19_1,ga_F19_1,pso_F19_1,eso_F19_2,de_F19_2,ga_F19_2,pso_F19_2,eso_F19_3,de_F19_3,ga_F19_3,pso_F19_3,eso_F19_4,de_F19_4,ga_F19_4,pso_F19_4
22,14668778.08084226,74435356.47767355,161128614.94299904,5585552.758061796,3770311.763475854,113552817.66619307,145625278.37819907,41569870.072346196,13460481.063516136,37351660.40697575,8401378.756532127,12158447.65269036,11065135.9706988,6351673.13598758,112797616.16564152,31489671.35800721,4911159.25819427,32154930.84597325,63365664.293971315,35009636.41328431,275646755.6433192,2716851328.2915206,25938735004.1502,1438590786.801132,356021920.26388687,1768864544.2039628,2357099206.8775854,19124672495.402206,1296667062.6070487,1745199154.8950558,394456060.9100235,1762143640.601293,23312933.724915307,7374014349.016219,2090060356.8264792,2787232979.716252,523178367.1129774,3835793708.904428,474101666.97331613,3605437135.005913
23,14668778.08084226,54371492.2026718,161113311.63749054,5566142.6689677425,3770311.763475854,113552817.66619307,145436076.58749747,41569870.072346196,13460481.063516136,37351660.40697575,8369862.017050599,12158447.65269036,11065135.9706988,6351673.13598758,111679714.79108289,29354187.331076235,4911159.25819427,32154930.84597325,63236244.85349733,30789179.62495628,267662089.9123078,2716851328.2915206,25730497703.106686,1152554749.2050471,218881325.5231965,1093898256.7231753,2358315918.077499,19124672495.402206,1296667062.6070487,1745199154.8950558,384472626.8631946,1589906137.9038708,23312933.724915307,7374014349.016219,711163804.9942722,2624641617.4367986,523178367.1129774,3835793708.904428,474100657.0726597,3346263101.6331654
24,13603974.45312442,47169075.67169653,161122875.6063661,5306233.391656771,3770311.763475854,113552817.66619307,120029362.67896271,39378793.20545452,13460481.063516136,37351660.40697575,8369862.017050599,12116216.456442794,11065135.9706988,6351673.13598758,110423403.13122036,29354187.331076235,4911159.25819427,32154930.84597325,63236244.85349733,30789179.62495628,263794069.5860352,2716851328.2915206,25730497703.106815,1152554749.2050471,198969069.38245368,1093898256.7231753,2180717277.7677727,18970828672.906517,1146726894.7924418,1745199154.8950558,321127130.1605704,1513812882.67268,23312933.724915307,7374014349.016219,750488184.8753546,2396175051.201218,523178367.1129774,3835793708.904428,466911842.57833755,3346263101.6331654
25,12486142.651145797,47169075.67169653,157158720.74703026,5306233.391656771,3770311.763475854,53495116.86732373,120029362.6092903,39378793.20545452,13460481.063516136,37351660.40697575,6929010.339820854,11477837.519053824,11065135.9706988,6351673.13598758,110423403.00172375,28627561.95089654,4911159.25819427,32154930.84597325,18803367.600611698,30789179.62495628,224460824.55620787,2470926673.3258443,25564333399.277534,1152554749.2050471,180663795.46514583,1093898256.7231753,2175856095.6684117,18965136650.031834,710106114.6229507,1745199154.8950558,259948912.2191583,1277334705.4868326,23312933.724915307,7374014349.016219,700998139.214209,2049455020.3129413,523178367.1129774,3835793708.904428,466911827.0116366,3346263101.6331654
26,12486142.651145797,47169075.67169653,155815703.57966173,4919951.629075411,1080076.4124509008,53495116.86732373,100511643.70309868,37389214.29015678,11898873.316586701,37351660.40697575,6897005.846099824,10899926.814098991,11065135.9706988,6351673.13598758,110423398.36232615,28627561.95089654,4911159.25819427,32154930.84597325,18553440.88759377,30789179.62495628,218069029.9265873,2470921752.004236,25564331129.727943,1078605701.0350256,121968100.04595785,835574529.7266358,2175856095.6684155,18965136650.031834,710106114.6229507,1745199154.8950558,258762574.57143784,1277334705.4868326,23312933.724915307,2176462624.3246074,699573925.0615556,2047339812.7381601,523178367.1129774,3835793708.904428,466911158.68469566,3346263101.6331654
27,12486142.651145797,47169075.67169653,155815257.60653713,4919951.629075411,1080076.4124509008,49066253.80244634,92361858.56080258,34766250.36839329,11898873.316586701,37351660.40697575,4882978.684635804,10264557.761380794,11065135.9706988,6351673.13598758,110410416.63620183,28627561.95089654,4841658.313223671,24822530.07801021,18232002.760914776,29923549.24760008,218069029.9265873,2470921752.004236,25562906584.58523,941564425.1753103,99797619.71269011,835574529.7266358,2156094758.150504,18869783628.102196,710106114.6229507,1745199154.8950558,236130780.0107877,1213598221.5524428,23312933.724915307,2176462624.3246074,447740495.85820323,2047339812.7381601,166992148.03115806,3819190376.7119107,466557492.32988906,3263323769.4336147
28,12486142.651145797,46965700.02818016,155814675.78098923,4919951.629075411,1080076.4124509008,49066253.80244634,92084359.61455247,32333004.130916838,11898873.316586701,37351660.40697575,4882978.684635804,10264557.761380794,11065135.9706988,6351673.13598758,110410416.68538031,25580778.005140156,4841658.313223671,24822530.07801021,18194371.14865262,29888252.95492649,218069029.9265873,2470921752.004236,25562341998.194393,827854213.7068775,99797619.71269011,835574529.7266358,2156094758.1505046,18591767954.406185,710106114.6229507,1745199154.8950558,235347242.45084694,1202186027.276446,23312933.724915307,2088870431.3928444,698597974.8637744,1988295210.1977203,166992148.03115806,1575676415.92074,466554934.37982494,3246248938.5880485
29,6143586.228737526,36989685.21493161,155814675.78098923,4919951.629075411,1014372.6236206635,49066253.80244634,92097330.63175511,32333004.130916838,11898873.316586701,37351660.40697575,4658724.041338556,10232460.904135607,11065135.9706988,6351673.13598758,110014617.82052371,24770456.380357586,3456065.453733434,20896391.911491662,18194306.692809336,27329171.567184933,218069029.9265873,2470921752.004236,25562341902.15956,827854213.7068775,99797619.71269011,835574529.7266358,2152308979.298068,18458674130.183792,596558525.8588353,1745199154.8950558,226422905.46338198,1062283825.769663,23312933.724915307,2088870431.3928444,608875811.6237506,1844216039.9060097,166992148.03115806,1332635120.9503465,463839744.19706154,3246248938.5880485
30,6143586.228737526,36989685.21493161,125221365.80129626,4919951.629075411,957856.493859029,49066253.80244634,92215831.38741788,32333004.130916838,11898873.316586701,37351660.40697575,4592717.667633146,10091043.713545829,11065135.9706988,6351673.13598758,101651363.40019117,19204241.31488319,3031154.10170421,20896391.911491662,18193993.805416312,23820968.473516386,218069029.9265873,2470921752.004236,25491816897.13754,732498132.8608891,99797619.71269011,835574529.7266358,2132290884.4863365,18346767180.90804,596558525.8588353,983581031.9973874,224553610.2711255,992837358.3297439,23312933.724915307,2088870431.3928444,606691917.3650007,1805464639.7735302,166992148.03115806,1332635120.9503465,463483761.23238283,3127601270.5444183
31,6143586.228737526,36989685.21493161,125221365.5421288,4919951.629075411,759694.4017750537,49066253.80244634,88112806.80332078,31890507.254592665,11898873.316586701,37351660.40697575,4588488.7240394,10073993.858522654,11065135.9706988,6351673.13598758,101588393.14724618,19204241.31488319,3031154.10170421,20896391.911491662,17878884.114813525,23820968.473516386,218069029.9265873,2456111669.499583,25490389010.25331,732498132.8608891,99355980.5966493,835574529.7266358,2132221707.281769,18234462008.382477,310329604.9503844,983581031.9973874,224553605.6902212,963888290.353288,23312933.724915307,2088870431.3928444,607139096.4604734,1736982868.1807425,166992148.03115806,1332635120.9503465,463483249.15485024,3127601270.5444183
32,6143586.228737526,36989685.21493161,124164117.78515457,4759357.783545031,759694.4017750537,49066253.80244634,85232340.0057532,31753839.32041687,11898873.316586701,37351660.40697575,4588519.087183297,10073993.858522654,11065135.9706988,6351673.13598758,93468859.0747791,18712011.850563914,3031154.10170421,20896391.911491662,17878893.634755015,20983391.85036298,207933627.45229515,2456111669.499583,25484127789.715523,715339726.3357191,89246432.7188496,835574529.7266358,1976777207.0902762,18183633510.034515,310329604.9503844,983581031.9973874,195659411.71395844,887958655.9425764,23312933.724915307,2088870431.3928444,397860371.61502457,1713672587.631126,166992148.03115806,1332635120.9503465,449389148.21035737,3077939621.9309106
33,6143586.228737526,36989685.21493161,124162433.1851848,4759357.783545031,759694.4017750537,49066253.80244634,85232340.00569108,31504275.72569508,11898873.316586701,37351660.40697575,4577986.346176087,10045664.362907339,11065135.9706988,6351673.13598758,93468859.0747791,18120218.252911355,3031154.10170421,20896391.911491662,17879036.079057198,18684538.765246395,191758124.87376693,2456111669.499583,25482699831.965763,712740743.4722005,89246432.7188496,835574529.7266358,1954276645.4423103,18079817018.359985,310329604.9503844,983581031.9973874,192898009.0263551,836447676.9638225,23312933.724915307,2088870431.3928444,357328983.6520032,1707421450.4922621,166992148.03115806,1332635120.9503465,449389117.90274936,3048026490.121297
34,6143586.228737526,36989685.21493161,123258237.68905573,4505730.523356824,759694.4017750537,42545209.933688134,85109955.95152189,30856855.158103235,11898873.316586701,16066054.926923413,4444544.44595035,10045664.362907339,11065135.9706988,6351673.13598758,93468843.91467772,17461450.153918847,3031154.10170421,20896391.911491662,15297362.354271047,18684538.765246395,191758124.87376693,1995888917.5181968,25390152196.322342,692608214.3801688,89246432.7188496,835574529.7266358,1954188024.011953,18008205417.025375,310329604.9503844,983581031.9973874,194538362.6596151,776591560.0308139,23312933.724915307,2088870431.3928444,255714566.9027665,1631700441.663706,166992148.03115806,1332635120.9503465,449389117.91827995,3015533041.4941297
35,6143586.228737526,36989685.21493161,123247770.82848719,4366957.5351381535,759694.4017750537,42545209.933688134,85033466.49548334,30362193.84925986,11898873.316586701,16066054.926923413,4311193.994653003,9989534.7985297,11065135.9706988,6351673.13598758,93232732.61540388,17442748.215788625,3031154.10170421,20896391.911491662,14992566.113602508,18477642.226182252,191758124.87376693,1516427709.6063719,23424971781.36338,683271976.5679448,78987559.0583538,835574529.7266358,1946184825.2989547,17917564298.276745,100194393.6236946,508948428.5689092,194538363.85886097,740457560.2185742,23312933.724915307,2088870431.3928444,224498284.17955214,1601394993.0915327,166992148.03115806,1332635120.9503465,449384637.77305067,2960887914.982739
36,6143586.228737526,36989685.21493161,123247705.51416686,4366957.5351381535,759694.4017750537,42545209.933688134,84568343.71356963,28979686.798670698,11898873.316586701,16066054.926923413,4299096.248048987,9989534.7985297,11065135.9706988,6351673.13598758,80968814.79994676,17442748.215788625,3031154.10170421,20896391.911491662,14902272.696792021,17143400.971170895,190877970.04142946,1516427709.6063719,11328203708.56978,663070642.1466212,78987559.0583538,817986537.5345691,1934091806.5010462,17910709043.89641,100194393.6236946,508948428.5689092,192898003.86786756,713054894.8285476,23312933.724915307,2088870431.3928444,224498284.17953888,1601394993.0915327,166992148.03115806,1332635120.9503465,447946123.9101851,2920270409.1734295
37,6143586.228737526,36989685.21493161,122161489.45756409,4236172.174901648,637806.5339487384,42545209.933688134,84430070.88632727,28979686.798670698,11898873.316586701,16066054.926923413,4058082.6985634826,9903753.636288008,11065135.9706988,6351673.13598758,80970856.08091402,17442748.215788625,3031154.10170421,20896391.911491662,14872957.511744957,13458925.90452198,177157812.27294874,1516427709.6063719,11319882357.908085,652908627.2402143,78987559.0583538,817986537.5345691,1933833204.213048,17899244913.906418,100194393.6236946,471046835.2890948,114886899.91373645,665616260.4252849,23312933.724915307,820196700.2349532,175299782.36605427,1575983293.7081604,91512753.9377363,1332635120.9503465,447669840.4774588,2890168762.5609007
38,6143586.228737526,36989685.21493161,118130167.03990558,4236172.174901648,637806.5339487384,42545209.933688134,84430070.88632727,27055210.163608454,11130260.76699351,16066054.926923413,3739219.374229777,9903753.636288008,11065135.9706988,6351673.13598758,73643514.03371204,17308787.285182144,3031154.10170421,20896391.911491662,14874183.223614594,12212793.75730126,177156908.48677254,1363277276.0756013,11164111147.8949,636159035.9906818,74094150.66001706,561004325.7352213,1933833150.1337953,17899244913.906418,100194393.6236946,471046835.2890948,113005215.73188065,604223855.9946711,23312933.724915307,820196700.2349532,175299828.0503236,1560773315.9216452,91512753.9377363,1332635120.9503465,447669836.24598145,2852640807.4117355
39,6120906.74501726,36989685.21493161,118149797.17264031,4236172.174901648,637806.5339487384,42545209.933688134,81481373.9721986,26130307.71404316,11130260.76699351,16066054.926923413,3742162.3870646195,9582580.09448391,11065135.9706988,6351673.13598758,78915968.02611917,17248409.008578762,3031154.10170421,20896391.911491662,14874157.218366234,10569381.707518045,91788505.94674014,1307445982.3814409,11054971257.162073,613384243.4164832,74094150.66001706,560259317.4831218,1926541420.0142453,17898405887.51108,93878404.05320159,471046835.2890948,87263273.19373973,591593316.5330104,23312933.724915307,820196700.2349532,175361957.5758825,1543978803.8590763,91512753.9377363,1332635120.9503465,438535776.9298693,2820401579.402043
