,de_F1_0,ga_F1_0,pso_F1_0,de_F1_1,ga_F1_1,pso_F1_1,de_F1_2,ga_F1_2,pso_F1_2,de_F1_3,ga_F1_3,pso_F1_3,de_F1_4,ga_F1_4,pso_F1_4,de_F2_0,ga_F2_0,pso_F2_0,de_F2_1,ga_F2_1,pso_F2_1,de_F2_2,ga_F2_2,pso_F2_2,de_F2_3,ga_F2_3,pso_F2_3,de_F2_4,ga_F2_4,pso_F2_4,de_F3_0,ga_F3_0,pso_F3_0,de_F3_1,ga_F3_1,pso_F3_1,de_F3_2,ga_F3_2,pso_F3_2,de_F3_3,ga_F3_3,pso_F3_3,de_F3_4,ga_F3_4,pso_F3_4,de_F4_0,ga_F4_0,pso_F4_0,de_F4_1,ga_F4_1,pso_F4_1,de_F4_2,ga_F4_2,pso_F4_2,de_F4_3,ga_F4_3,pso_F4_3,de_F4_4,ga_F4_4,pso_F4_4,de_F5_0,ga_F5_0,pso_F5_0,de_F5_1,ga_F5_1,pso_F5_1,de_F5_2,ga_F5_2,pso_F5_2,de_F5_3,ga_F5_3,pso_F5_3,de_F5_4,ga_F5_4,pso_F5_4,de_F6_0,ga_F6_0,pso_F6_0,de_F6_1,ga_F6_1,pso_F6_1,de_F6_2,ga_F6_2,pso_F6_2,de_F6_3,ga_F6_3,pso_F6_3,de_F6_4,ga_F6_4,pso_F6_4,de_F7_0,ga_F7_0,pso_F7_0,de_F7_1,ga_F7_1,pso_F7_1,de_F7_2,ga_F7_2,pso_F7_2,de_F7_3,ga_F7_3,pso_F7_3,de_F7_4,ga_F7_4,pso_F7_4
0,58193.59859651577,70521.36167701874,129194.5540530257,59080.24130405382,64066.94081613713,131039.43436303837,59239.37210681237,66677.47203106098,130632.73050339284,68645.98260813863,57817.694763269756,134971.54567806388,62371.12833220449,68175.36319774539,129862.40301772345,1.4794986991515471e+38,2.6022473755026794e+39,8.808820813210672e+46,4.057076944301963e+38,7.850365343441691e+43,3.987067019026335e+46,1.0528770222909154e+41,6.920054628727916e+41,4.062821156854763e+46,6.8486605064298e+39,6.762998089056814e+40,2.198177074507757e+47,6.92529083970278e+38,4.462467402139068e+42,2.2294451093948933e+45,166360.34038991912,219723.274553765,144665.95521011177,91924.04500242075,105095.38292136349,202993.2817418812,85942.07373382137,105798.8380629594,120795.83378839483,94094.88182751024,102360.10364059581,303494.6977358601,135675.8969932817,123238.29335179995,244832.78755396017,91.13260183368767,88.88693637628431,100.0,85.64660562944766,79.82793384223615,100.0,86.1838247706842,89.33966056878663,100.0,86.77746115380504,88.78076588212548,100.0,80.77100168916664,85.68380530256957,100.0,32229433061.191933,23638651886.06691,89534971098.72302,26680611368.336567,28544547028.29798,105690161313.9543,33276009507.050907,28430574675.36736,87702411711.6853,20365674207.532665,34818554172.804794,91596184266.03632,35371361626.80314,22897751469.879017,100397575380.99603,66327.99102352446,59444.98654161894,121384.95752610575,59349.65327683586,60805.52987665918,137652.0339338523,71623.03192605592,69766.98588912148,133857.35568113485,64564.3721699278,54206.0580589706,141444.49098765585,69125.94754147837,65259.16981219795,116719.74244314912,3118443765.013155,4670477408.575691,11808197777.17537,4690582174.534419,4539069447.945838,14572299928.828478,3847150498.72878,5014082409.77513,15201394933.144766,1884602976.1445875,3276994601.8954825,17551382264.267727,3611062029.7557125,4727726910.744635,14024067518.61642
1,58193.59859651577,56041.74707299085,129194.5540530257,54656.950856755655,54735.77723910354,131039.43436303837,59239.37210681237,66520.65746047898,130632.73050339284,57901.97779531123,56828.585769810066,134971.54567806388,61121.59417607219,71623.37940408019,129862.40301772345,1.4794986991515471e+38,2.495681051550024e+39,8.808820813210672e+46,4.057076944301963e+38,2.4252616176809496e+42,3.987067019026335e+46,5.889461294288927e+40,2.0678806336114905e+41,4.062821156854763e+46,6.8486605064298e+39,6.158802908880632e+39,2.198177074507757e+47,4.743501464254005e+38,9.406903197738622e+39,2.2294451093948933e+45,80692.63910463509,145551.8998142882,144665.95521011177,91924.04500242075,105095.38292136349,202993.2817418812,85942.07373382137,73665.11978585826,120795.83378839483,94094.88182751024,63665.25845330569,276549.53714884986,87001.63773104592,98805.58924840456,244832.78755396017,89.25166642019224,83.62786545587139,100.0,85.35718577415301,79.82793384223615,100.0,86.1838247706842,84.51626579487522,100.0,84.06990656446685,88.78076588212548,100.0,80.77100168916664,86.37584465852746,100.0,21882242939.740128,28491378278.9931,89534971098.72302,26680611368.336567,26680178197.65633,105690161313.9543,27120255178.042297,19720633370.263817,87702411711.6853,15372307239.246521,25055198598.560726,91596184266.03632,28120652972.96856,28440052952.74356,100397575380.99603,66327.99102352446,64837.31014718422,121384.95752610575,48153.48318042308,56490.34775896599,137652.0339338523,58337.33258951445,65912.98456958006,133857.35568113485,45035.64459428017,44726.25615969065,141444.49098765585,61447.27432756461,55019.75961671294,116719.74244314912,3118443765.013155,3888767521.3135195,11808197777.17537,3159316851.8031836,3722300657.828609,14572299928.828478,3847150498.72878,3620498799.057306,15201394933.144766,1884602976.1445875,3270965182.892875,17551382264.267727,2449943419.468528,3651769356.1654143,14024067518.61642
2,51728.00028336058,51887.59741870073,129194.5540530257,54656.950856755655,57705.1231547362,131039.43436303837,56487.92400048579,53940.607018019735,130632.73050339284,54323.02249651535,47628.87400543926,134971.54567806388,50330.144755749105,63250.35531573842,129862.40301772345,1.4794986991515471e+38,1.7842159267469352e+38,8.808820813210672e+46,4.057076944301963e+38,1.2476455110228133e+41,3.987067019026335e+46,6.3217082770958865e+38,1.0566265731978577e+38,4.062821156854763e+46,1.4792261024111907e+38,5.959215292983208e+38,4.786958050628091e+45,4.743501464254005e+38,1.743553582302018e+38,2.2294451093948933e+45,80692.63910463509,103333.21053874063,144665.95521011177,91924.04500242075,91854.45653302337,202993.2817418812,70738.2356528539,71716.97511873281,120795.83378839483,94094.88182751024,95893.09259541241,238026.64574730702,87001.63773104592,95952.43259567118,244832.78755396017,85.9931290759484,83.46406239246207,100.0,85.35718577415301,77.84662711333792,100.0,83.47362789749805,84.51626579487522,100.0,83.14092780692545,86.48407020908039,100.0,80.77100168916664,83.21539228000464,100.0,20999532095.855247,24981589147.272438,89534971098.72302,24934343907.28719,18409121113.35446,105690161313.9543,20754959013.045822,21147576166.338722,87702411711.6853,15372307239.246521,21597273354.95094,91596184266.03632,28120652972.96856,24443566619.88411,100397575380.99603,53079.974842676005,59241.262356905376,121384.95752610575,48153.48318042308,48278.092643002434,137652.0339338523,54319.58042290672,58477.56146348964,133857.35568113485,39829.147514645694,43140.21708711734,141444.49098765585,57478.81245945076,53328.714605814625,116719.74244314912,2970162415.674788,3230678336.739274,11808197777.17537,3102368164.206005,2789687773.8252807,14572299928.828478,2023825576.4011228,3165845878.8439374,15201394933.144766,1411496088.9833276,2346137034.5953617,17551382264.267727,2449943419.468528,2662214859.7746487,14024067518.61642
3,50856.37476652283,44297.18382067256,114051.71718680061,47736.69115215348,41072.05667292544,121168.65058161411,56487.92400048579,50042.721401392984,108382.9498564598,51996.44912094812,43814.63061069985,112061.19022025751,50330.144755749105,56121.49340133923,118805.85800524068,2.744973654238482e+36,1.732421738094839e+38,8.808820813210672e+46,9.13182954889489e+37,2.113812016651172e+39,3.987067019026335e+46,2.1431138239167292e+38,2.9796015740909024e+37,1.0227475074751285e+44,2.0523750449844994e+37,6.28282562440001e+37,4.786958050628091e+45,2.4975301370184473e+37,1.1414543139711754e+37,2.2294451093948933e+45,73244.24827180746,100325.62402658614,134727.42038710194,89788.09177853579,88223.57093814015,176441.4304736193,70738.2356528539,70106.8825539379,120795.83378839483,74000.03084695936,81485.3722638065,224945.78125624196,75732.41702392456,69183.42433188614,244832.78755396017,69.05085561078022,83.62786545587139,100.0,80.72708405329176,78.26062654064066,100.0,81.12354273562079,75.30505441841905,100.0,76.26135953112774,86.48407020908039,100.0,80.77100168916664,73.7330337864035,100.0,20521252190.83501,17514138522.982994,75772959847.28639,16776533533.881945,14197761155.02413,101662873636.0864,20754959013.045822,16469270595.38256,87702411711.6853,15372307239.246521,9352329508.761084,84832025644.58705,8712870364.050508,23213010264.90875,100397575380.99603,42000.483749586405,53386.16742096368,121384.95752610575,48153.48318042308,42746.078678060556,115867.4289754839,49444.796019948524,48159.55818085486,133857.35568113485,39829.147514645694,33490.77362198919,141042.24229254344,53572.127886926304,40690.92054763023,116719.74244314912,2970162415.674788,2694372136.228337,11808197777.17537,3102368164.206005,2471399764.325228,12375948367.20164,2023825576.4011228,2687717702.9158373,13378264527.834326,1411496088.9833276,2341991954.2926993,14694906405.877703,2449943419.468528,2070793030.7216635,9792442228.517557
4,46650.58772705405,36475.610763603196,103720.6627458218,41075.17191113519,41986.65399103276,101310.37058068285,54532.528469268116,46019.29477861529,108198.7048122198,49230.53904174412,33801.052965194525,101242.43712725566,50330.144755749105,52459.512707920854,93220.87898961818,1.789014527789999e+36,4.712872158853102e+34,4.4318252009764165e+45,7.75214646089687e+36,2.5253787754202205e+36,1.997390673187219e+45,2.1431138239167292e+38,5.2404621830175566e+35,1.0227475074751285e+44,1.1259802448739054e+36,6.566915614309809e+36,1.3801878676552693e+43,2.4975301370184473e+37,3.0919364887648804e+36,9.02979224655397e+42,73244.24827180746,86860.10970374226,134727.42038710194,63922.05158944253,91121.30922001376,176441.4304736193,70738.2356528539,73170.00811468769,88436.94630354572,68265.35244838428,65527.029368719515,151016.0126516616,75732.41702392456,91397.40012659824,131966.28414012174,69.05085561078022,80.4665045721766,100.0,76.868046304247,73.10063511743238,100.0,81.12354273562079,79.64646489342974,100.0,76.26135953112774,82.75584028230787,100.0,80.77100168916664,79.6927099952906,100.0,14868834852.005674,16417626413.264765,51780965176.62945,16776533533.881945,8447984303.26599,80679680659.98041,20573560268.143833,15248393831.34596,68617916518.80229,10947623157.860031,9423498935.912552,56800569235.881096,8712870364.050508,16325778575.10208,87100073522.35095,42000.483749586405,45148.36545547163,105616.5934703424,48153.48318042308,36164.4265014901,98907.35793115584,39696.467221265746,48159.55818085486,109699.86066415443,30220.650098500755,32386.283486378517,96167.71453049159,53572.127886926304,38822.39847145595,99435.75396758824,2673203220.1208467,2455544669.0234184,10176303591.72901,2456399068.4587836,2781222183.429429,10406624519.91947,1676905162.8615704,2561766155.3916225,9523605181.035316,1411496088.9833276,2010181099.3107758,11175136471.85683,2449943419.468528,2043547274.8289375,9792442228.517557
5,41819.9023236347,37069.88916024322,83547.87680428458,41075.17191113519,39415.67940647397,92353.13019252903,50351.24484422234,47091.45702931721,92013.43135714074,49230.53904174412,36643.40221174242,80093.3695802555,49117.041186582486,38225.28881915492,82706.62136742001,1.789014527789999e+36,1.0647256744078875e+34,4.4318252009764165e+45,2.0165600229618513e+36,9.804538635964936e+35,1.878756941105693e+44,9.569949969602531e+36,6.862827756037894e+34,1.0313938137988027e+43,1.1259802448739054e+36,1.907393804191081e+35,1.3801878676552693e+43,4.7354157660058614e+36,4.957246013882829e+34,4.3921392087505306e+42,73244.24827180746,71508.1995496302,114618.50582542035,63922.05158944253,90738.29795331041,118031.30899207178,70738.2356528539,68303.56079228775,88436.94630354572,68265.35244838428,58383.42636657757,70233.65689885648,75732.41702392456,83111.49921667235,131966.28414012174,69.05085561078022,80.17400418416318,100.0,75.92739496835419,71.35563277236915,100.0,79.23564666791896,79.64646489342974,100.0,74.8863964842837,80.68234621578935,100.0,79.85246116947059,77.51251988928416,100.0,14575251734.907566,12571761464.285885,45629855361.164406,16776533533.881945,7484491558.515813,70024116382.99847,10126055780.45672,9433149375.121647,68617916518.80229,10947623157.860031,7889982272.0879,50793460051.83599,8712870364.050508,12622214530.355186,61906969603.03093,32891.76982171457,40895.95878190676,104681.59549413765,38978.24366547158,32709.48265270683,89839.37117225594,35716.48498075344,47535.078099929946,99853.62162284553,30220.650098500755,27279.240413784024,87010.48206773723,38883.172463550436,32495.99471128017,94153.23991783956,1765815091.9877279,1843593307.5584037,7796913488.44181,2123546524.424724,2680743671.3172803,6366261403.48744,1676905162.8615704,1324723018.261459,8338965599.017087,1411496088.9833276,1499508738.3590095,9424489092.775677,2449943419.468528,1418104393.1362548,9150315423.790348
6,41560.68640100453,31207.49378468422,83547.87680428458,41075.17191113519,34777.018166471324,89925.52097204613,49044.762295733926,39854.09889555462,92013.43135714074,46528.7429785292,34112.70607533766,80093.3695802555,28576.126076299053,30704.025043732297,72887.59232312765,1.789014527789999e+36,5.962084517128111e+33,1.2492684784184208e+42,2.0165600229618513e+36,6.165109690097331e+33,8.4964329669714e+42,2.44158598950524e+36,8.886343634699954e+32,1.0313938137988027e+43,1.1259802448739054e+36,1.1513771581436599e+34,1.7683968321755804e+42,4.7354157660058614e+36,4.956023465845817e+34,4.3921392087505306e+42,73244.24827180746,63562.28567502401,114618.50582542035,61568.284314930555,84718.46459644001,114603.36213425781,70738.2356528539,63655.86637377811,88436.94630354572,68265.35244838428,48482.29003768149,70233.65689885648,65926.03665044623,56042.76643254209,100687.10076859719,69.05085561078022,78.37426670751267,100.0,75.92739496835419,71.35563277236915,100.0,77.9889790035929,71.99123798496615,100.0,74.8863964842837,80.67629643747412,100.0,79.85246116947059,77.51251988928416,100.0,14575251734.907566,12049628130.802637,45629855361.164406,11977555223.58863,7423025206.098758,70024116382.99847,7513008497.279238,7508920925.945395,68617916518.80229,10947623157.860031,7682954368.800537,50793460051.83599,7360751055.581465,9727128722.649721,61338581759.38805,28363.739289729783,37860.10740470167,104681.59549413765,35298.88816872622,31962.47887519078,89839.37117225594,35716.48498075344,42428.24729945149,98906.77628477968,30220.650098500755,26687.655032704897,85015.79254028003,38883.172463550436,30994.49640168105,94153.23991783956,1702555243.511148,1657602438.3293605,6594708468.607442,2123546524.424724,1839463523.4038842,6366261403.48744,1676905162.8615704,1279949843.1587014,8338965599.017087,1411496088.9833276,1405011413.8877182,7873424722.892598,2449943419.468528,857570368.1766666,7518193682.74443
7,41560.68640100453,28798.75850608117,83547.87680428458,33766.40883331529,29614.47697786274,83172.88691827723,49044.762295733926,32680.916548175122,92013.43135714074,39572.73963437386,29405.669265287797,80093.3695802555,28576.126076299053,26060.287169380594,69381.23994566825,1.4498259857387916e+35,2.040254347849633e+32,1.2492684784184208e+42,7.219109700417718e+34,5.586907015883378e+32,8.4964329669714e+42,2.44158598950524e+36,1.3986655713955036e+32,2.1753989239614747e+42,1.5993903169325063e+34,1.9815273376711725e+31,3.0301855652645443e+41,3.357558642570834e+36,4.896655044315695e+34,4.3921392087505306e+42,73244.24827180746,67201.117738477,108491.06226324165,61568.284314930555,73578.8346068058,114603.36213425781,59148.997865615616,53916.0526235897,88436.94630354572,68265.35244838428,44075.66128390424,70233.65689885648,65550.9969519141,49558.05283836698,100687.10076859719,69.05085561078022,78.37426670751267,100.0,74.18444822347071,71.35563277236915,100.0,77.9889790035929,71.99123798496615,100.0,74.8863964842837,80.67629643747412,96.85294804828008,73.81562053464407,67.06277689294086,100.0,14575251734.907566,9687419260.403433,45629855361.164406,11977555223.58863,5182662570.037587,70024116382.99847,7513008497.279238,5096740035.126044,67428441940.82768,10947623157.860031,4932293707.559175,47978231462.893936,7360751055.581465,9017606801.158705,51134468399.17834,28363.739289729783,33155.58535476788,96350.63130096353,35298.88816872622,26594.834259004598,89839.37117225594,35716.48498075344,39560.86770573975,91175.37968763386,30220.650098500755,23634.74454509967,79483.37799359974,38883.172463550436,26559.715305732137,94153.23991783956,1576644480.843084,1557344850.7331095,6594708468.607442,2123546524.424724,1673729204.8081882,6336361109.045432,1496811857.4644656,787604223.7964094,8338965599.017087,1411496088.9833276,820576854.9085244,7873424722.892598,2449943419.468528,938414059.2898117,7518193682.74443
8,32486.080313692222,26847.478296080862,83547.87680428458,33766.40883331529,30092.994429378097,83172.88691827723,36562.76402871672,34480.60994839553,92013.43135714074,31887.200294918897,25679.409661063524,80093.3695802555,28576.126076299053,24257.91095699554,69118.40291133561,1.4498259857387916e+35,5.946160113354759e+30,1.2492684784184208e+42,7.219109700417718e+34,1.0942109465248988e+32,9.303133605721431e+40,2.44158598950524e+36,1.3986653322071993e+32,1.3730023696002954e+42,1.5993903169325063e+34,4.243565220953935e+30,3.0301855652645443e+41,1.0493006673860251e+36,3.0590268629252146e+34,4.3921392087505306e+42,73244.24827180746,60807.14223184563,106390.54890012908,61568.284314930555,73141.22155840156,107800.801204076,59148.997865615616,55223.41944315587,88436.94630354572,68265.35244838428,39525.15888232286,70233.65689885648,65550.9969519141,43697.17410842729,81747.44926644128,69.05085561078022,78.37426670751267,100.0,74.18444822347071,71.35066612220865,89.03993448722784,77.9889790035929,67.49822076759219,100.0,74.8863964842837,80.67629643747412,91.38401753152354,73.81562053464407,72.71602022122406,100.0,8625287625.171942,8921240239.195929,45629855361.164406,11977555223.58863,5327315113.561255,67827073289.037125,7513008497.279238,3328910667.3044033,62588220166.166626,10947623157.860031,3732898905.280827,39489147959.480484,7360751055.581465,8359047867.138751,51134468399.17834,28363.739289729783,27169.258995366417,94177.17103254973,35298.88816872622,26154.349485475115,85414.23374266106,35716.48498075344,36714.17106313244,76841.39258722072,30220.650098500755,23357.326386551693,76514.20746818998,35521.61276631428,25959.78063561204,94153.23991783956,1576644480.843084,1420845009.0885673,6594708468.607442,1399166825.2181482,1669418504.3416305,6336361109.045432,1496811857.4644656,731039067.5900385,8338965599.017087,1411496088.9833276,781179637.2490184,7846540614.019237,1192797880.6574528,491007746.8911918,7518193682.74443
9,32486.080313692222,25540.686550618517,80600.36858340475,31589.133814058063,28528.93116682253,75583.55611205503,32645.754375059565,32339.751134731345,75643.81468471266,30324.497889434417,24845.773702756574,75086.02262311538,28576.126076299053,24257.688216589726,66935.85835107102,2.4629313427216324e+32,2.4400665526490507e+29,1.2492684784184208e+42,4.032208283635232e+33,9.73807504944313e+31,9.303133605721431e+40,3.92112220323943e+35,1.0624918958311785e+31,7.725745487792117e+41,1.5993903169325063e+34,6.802163778761604e+30,1.5841892621251462e+38,1.0493006673860251e+36,1.2304386868646176e+34,4.275731354528558e+41,73244.24827180746,53877.19554759961,85667.29847195034,61568.284314930555,74854.35630623662,99902.43265151972,59148.997865615616,54841.923463765816,88436.94630354572,68265.35244838428,35131.94290942545,70233.65689885648,65550.9969519141,43731.978886381505,81747.44926644128,66.38603057280562,78.37426670751267,97.66490990348615,74.18444822347071,71.00621777167834,89.03993448722784,77.304447646663,67.49822058132767,100.0,74.8863964842837,80.67629643747412,88.04496721509659,69.76969211055177,67.02269118606239,100.0,8625287625.171942,7090568596.767818,37009277806.14314,11977555223.58863,4636175268.548001,64828684517.91578,7513008497.279238,4279000258.586309,62588220166.166626,6661849604.448185,3681148376.709317,34664027728.78875,7360751055.581465,7441391203.071552,49294116331.34471,28363.739289729783,24299.673116971575,83265.18067984414,34744.03982961888,22327.693348648983,78462.95481003479,32501.077339127114,35572.48564758898,71991.55679755444,30220.650098500755,21404.683977873614,76293.31524456819,35521.61276631428,23490.412676003354,92444.28462302606,1262861940.0626678,1163698288.5285172,6482186200.181694,1267247736.4344337,1632107448.4191127,5222364712.887132,1496811857.4644656,745847935.2420353,7866357624.8653555,1411496088.9833276,667757638.3518101,7706998887.1040745,1192797880.6574528,480995015.68463784,6568687378.363023
