,ESOA,,PSO,,GA,,DE,,GWO,,HHO,
,ave,std,ave,std,ave,std,ave,std,ave,std,ave,std
F1,0.00E+00,0.00E+00,1.89E+04,1.10E+04,8.87E+00,1.69E+01,7.94E-05,1.99E-05,8.85E-37,5.70E-37,1.09E-74,1.89E-74
F2,4.92E-184,0.00E+00,1.12E+03,1.61E+02,1.76E+00,9.19E-01,3.25E-02,6.06E-03,1.64E-22,2.84E-22,9.03E-43,1.56E-42
F3,0.00E+00,0.00E+00,3.72E+04,1.10E+04,1.21E+04,3.07E+03,1.88E+04,3.08E+03,2.54E-22,2.75E-22,2.58E-39,4.46E-39
F4,3.53E-173,0.00E+00,2.98E+01,6.32E+00,2.80E+01,2.79E+00,2.73E+00,1.82E-01,5.16E-22,3.86E-22,2.58E-39,4.46E-39
F5,2.81E+01,3.46E-01,1.01E+10,6.31E+09,2.55E+03,4.34E+03,1.75E+02,4.59E+01,1.24E-21,9.80E-22,4.96E-38,8.00E-38
F6,5.20E+00,3.82E-01,2.04E+04,1.24E+04,6.25E-01,8.51E-01,1.21E-04,3.45E-05,1.14E-21,1.05E-21,5.00E-38,7.97E-38
F7,2.26E-05,2.25E-05,7.64E+08,5.48E+08,3.05E+01,3.40E+01,1.79E-01,2.47E-02,4.00E-10,6.93E-10,4.75E-38,8.11E-38
